QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,QFCD3MCX,QFCD_MCX,FONPURCH,INTAWAY,INTAWAY_,INTAWYX,INTAWYX_,FONCARDX,FONC_RDX
20171,03389814,35,0,1,,A,,,A,,A,,A
20171,03389824,34,0,1,,A,,,A,,A,,A
20171,03389834,16,0,1,,A,,,A,,A,,A
20171,03389844,34,0,1,,A,,,A,,A,,A
20171,03389864,21,0,1,,A,,,A,,A,,A
20171,03389884,30,0,1,,A,,,A,,A,,A
20171,03389894,15,0,1,,A,,,A,,A,,A
20171,03389904,33,0,1,,A,,,A,,A,,A
20171,03389924,31,0,1,,A,,,A,,A,,A
20171,03389964,57,0,1,,A,,,A,,A,,A
20171,03389984,39,0,1,,A,,,A,,A,,A
20171,03390004,16,0,1,,A,,,A,,A,,A
20171,03390034,27,0,1,,A,,,A,,A,,A
20171,03390074,21,0,1,,A,,,A,,A,,A
20171,03390104,9,0,1,,A,,,A,,A,,A
20171,03390114,42,0,1,,A,,,A,,A,,A
20171,03390124,47,0,1,,A,,,A,,A,,A
20171,03390134,59,0,1,,A,,,A,,A,,A
20171,03390174,22,0,1,,A,,,A,,A,,A
20171,03390184,52,0,1,,A,,,A,,A,,A
20171,03390204,26,0,1,,A,,,A,,A,,A
20171,03390214,33,0,1,,A,,,A,,A,,A
20171,03390254,28,0,1,,A,,,A,,A,,A
20171,03390264,37,0,1,,A,,,A,,A,,A
20171,03390274,42,0,1,,A,,,A,,A,,A
20171,03390294,42,0,1,,A,,,A,,A,,A
20171,03390304,30,0,1,,A,,,A,,A,,A
20171,03390374,42,0,1,,A,,,A,,A,,A
20171,03390424,12,0,1,,A,,,A,,A,,A
20171,03390434,16,0,1,,A,,,A,,A,,A
20171,03390444,41,0,1,,A,,,A,,A,,A
20171,03390454,37,0,1,,A,,,A,,A,,A
20171,03390464,57,0,1,,A,,,A,,A,,A
20171,03390504,64,0,1,,A,,,A,,A,,A
20171,03390524,41,0,1,,A,,,A,,A,,A
20171,03390534,21,0,1,,A,,,A,,A,,A
20171,03390574,71,0,1,,A,,,A,,A,,A
20171,03390614,65,0,1,,A,,,A,,A,,A
20171,03390624,52,0,1,,A,,,A,,A,,A
20171,03390634,18,0,1,,A,,,A,,A,,A
20171,03390654,29,0,1,,A,,,A,,A,,A
20171,03390684,48,0,1,,A,,,A,,A,,A
20171,03390694,14,0,1,,A,,,A,,A,,A
20171,03390704,24,0,1,,A,,,A,,A,,A
20171,03390714,66,0,1,,A,,,A,,A,,A
20171,03390744,14,0,1,,A,,,A,,A,,A
20171,03390754,39,0,1,,A,,,A,,A,,A
20171,03390774,30,0,1,,A,,,A,,A,,A
20171,03390784,39,0,1,,A,,,A,,A,,A
20171,03390804,67,0,1,,A,,,A,,A,,A
20171,03390814,57,0,1,,A,,,A,,A,,A
20171,03390874,13,0,1,,A,,,A,,A,,A
20171,03390894,21,0,1,,A,,,A,,A,,A
20171,03390924,15,0,1,,A,,,A,,A,,A
20171,03390954,21,0,1,,A,,,A,,A,,A
20171,03390984,23,0,1,,A,,,A,,A,,A
20171,03391024,35,0,1,,A,,,A,,A,,A
20171,03391064,53,0,1,,A,,,A,,A,,A
