QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JMKPURQV,JMKP_RQV,JNONFDQV,JNON_DQV,JOTHSTQV,JOTH_TQV,JDINEOQV,JDIN_OQV,JALOUTQV,JALO_TQV,JMLPAYQV,JMLP_YQV,JSCHMLQV,JSCH_LQV,JMKGRCQV,JMKG_CQV,JALHOMQV,JALH_MQV,CIGARETX,CIGA_ETX,JCIGARQV,JCIG_RQV,JOTBACQV,JOTB_CQV,OTHTBACX,OTHT_ACX
20171,03390004,18,0,1,3250,D,650,D,,A,0,D,0,D,,A,,A,2600,D,0,D,,A,,A,,A,,A
20171,03390034,29,0,1,1950,D,325,D,,A,390,D,0,D,,A,,A,1625,D,0,D,,A,,A,,A,,A
20171,03390074,23,0,1,585,D,130,D,,A,130,D,0,D,,A,,A,455,D,0,D,,A,,A,,A,,A
20171,03390104,12,0,1,0,D,,A,,A,0,D,0,D,,A,,A,0,D,0,D,,A,,A,,A,,A
20171,03390114,44,0,1,1820,D,260,D,,A,130,D,0,D,,A,,A,1560,D,0,D,,A,,A,,A,,A
20171,03390124,49,0,1,910,D,0,D,,A,130,D,0,D,,A,,A,910,D,0,D,,A,,A,,A,,A
20171,03390134,65,0,1,975,D,455,D,,A,390,D,0,D,,A,,A,520,D,0,D,,A,,A,,A,,A
20171,03390174,25,0,1,520,D,130,D,,A,520,D,0,D,,A,,A,390,D,0,D,40,D,520,D,,A,,A
20171,03390184,56,0,1,2301,D,351,D,,A,2002,D,0,D,,A,,A,1950,D,213,D,,A,,A,,A,,A
20171,03390204,28,0,1,1950,D,195,D,65,D,0,D,0,D,575,D,,A,1755,D,0,D,,A,,A,,A,,A
20171,03390214,38,0,1,585,D,130,D,65,D,0,D,0,D,,A,,A,455,D,0,D,,A,,A,,A,,A
20171,03390254,31,0,1,1625,D,130,D,260,D,260,D,0,D,,A,,A,1495,D,0,D,,A,,A,,A,,A
20171,03390264,40,0,1,390,D,65,D,,A,260,D,0,D,,A,,A,325,D,0,D,,A,,A,,A,,A
20171,03390274,44,0,1,975,D,130,D,,A,520,D,0,D,,A,,A,845,D,150,D,,A,,A,,A,,A
20171,03390294,45,0,1,2600,D,260,D,,A,455,D,0,D,,A,,A,2340,D,60,D,,A,,A,,A,,A
20171,03390304,34,0,1,1950,D,130,D,260,D,130,D,0,D,,A,,A,1820,D,0,D,,A,,A,,A,,A
20171,03390374,47,0,1,3900,D,975,D,,A,390,D,0,D,,A,,A,2925,D,180,D,105,D,1365,D,,A,,A
20171,03390424,14,0,1,390,D,0,D,,A,65,D,0,D,,A,,A,390,D,0,D,,A,,A,,A,,A
20171,03390434,20,0,1,325,D,325,D,,A,0,D,0,D,,A,,A,0,D,0,D,26,D,338,D,,A,,A
20171,03390444,45,0,1,1560,D,260,D,,A,390,D,300,D,,A,,A,1300,D,300,D,,A,,A,,A,,A
20171,03390454,44,0,1,1950,D,325,D,,A,1300,D,0,D,,A,,A,1625,D,0,D,,A,,A,,A,,A
20171,03390464,60,0,1,975,D,195,D,,A,520,D,0,D,,A,,A,780,D,450,D,,A,,A,,A,,A
20171,03390504,69,0,1,1560,D,260,D,,A,130,D,0,D,,A,325,D,1300,D,0,D,,A,,A,,A,,A
20171,03390524,46,0,1,1040,D,0,D,,A,1300,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20171,03390534,23,0,1,1300,D,325,D,130,D,1300,D,0,D,,A,,A,975,D,75,D,,A,,A,,A,,A
20171,03390574,74,0,1,2990,D,390,D,,A,650,D,0,D,,A,,A,2600,D,0,D,,A,,A,,A,,A
20171,03390614,73,0,1,3770,D,195,D,,A,975,D,60,D,,A,,A,3575,D,150,D,,A,,A,,A,,A
20171,03390624,56,0,1,650,D,130,D,,A,195,D,30,D,,A,,A,520,D,30,D,,A,,A,,A,,A
20171,03390634,20,0,1,1871,F,,A,,A,598,F,110,F,,A,,A,1596,F,116,F,,A,,A,,A,,A
20171,03390654,33,0,1,1040,D,390,D,,A,325,D,0,D,,A,,A,650,D,45,D,,A,,A,,A,,A
20171,03390684,50,0,1,2210,D,260,D,,A,520,D,60,D,,A,180,D,1950,D,240,D,,A,,A,52,D,4,D
20171,03390694,16,0,1,1300,D,195,D,,A,0,D,0,D,,A,,A,1105,D,0,D,20,D,260,D,,A,,A
20171,03390704,26,0,1,650,D,195,D,,A,130,D,0,D,,A,,A,455,D,0,D,,A,,A,,A,,A
20171,03390714,71,0,1,1378,D,325,D,,A,1131,D,150,D,231,D,,A,1053,D,120,D,,A,,A,,A,,A
20171,03390744,17,0,1,1300,D,130,D,,A,390,D,60,D,,A,,A,1170,D,60,D,,A,,A,,A,,A
20171,03390754,45,0,1,2600,D,26,D,,A,650,D,30,D,,A,,A,2574,D,60,D,,A,,A,,A,,A
20171,03390774,32,0,1,650,D,65,D,,A,130,D,0,D,,A,,A,585,D,0,D,,A,,A,,A,,A
20171,03390784,43,0,1,1430,D,260,D,,A,260,D,0,D,,A,,A,1170,D,60,D,,A,,A,,A,,A
20171,03390804,73,0,1,1300,D,650,D,,A,585,D,0,D,,A,,A,650,D,225,D,,A,,A,,A,,A
20171,03390814,61,0,1,1300,D,130,D,,A,3250,D,0,D,,A,360,D,1170,D,0,D,,A,,A,,A,,A
20171,03390874,15,0,1,650,D,65,D,,A,650,D,0,D,,A,,A,585,D,30,D,,A,,A,,A,,A
20171,03390894,24,0,1,1300,D,260,D,,A,780,D,0,D,,A,,A,1040,D,9,D,,A,,A,,A,,A
20171,03390924,19,0,1,650,D,260,D,,A,78,D,0,D,,A,,A,390,D,0,D,,A,,A,,A,,A
20171,03390954,25,0,1,975,D,52,D,,A,0,D,0,D,,A,,A,923,D,0,D,,A,,A,,A,,A
20171,03390984,26,0,1,1820,D,0,D,,A,520,D,0,D,,A,,A,1820,D,0,D,,A,,A,,A,,A
20171,03391024,38,0,1,455,D,65,D,,A,715,D,90,D,,A,,A,390,D,120,D,,A,,A,130,D,10,D
20171,03391064,58,0,1,2080,D,455,D,,A,650,D,0,D,,A,,A,1625,D,0,D,,A,,A,,A,,A
20171,03391084,21,0,1,650,D,0,D,325,D,260,D,0,D,,A,,A,650,D,0,D,,A,,A,,A,,A
20171,03391094,22,0,1,1170,D,325,D,,A,1300,D,0,D,,A,,A,845,D,0,D,,A,,A,,A,,A
20171,03391124,20,0,1,715,D,195,D,,A,130,D,0,D,,A,,A,520,D,0,D,,A,,A,,A,,A
20171,03391134,33,0,1,780,D,325,D,,A,0,D,0,D,,A,,A,455,D,0,D,25,D,325,D,,A,,A
20171,03391154,13,0,1,1300,D,260,D,,A,325,D,0,D,,A,,A,1040,D,0,D,7,D,91,D,,A,,A
20171,03391164,17,0,1,1690,D,390,D,,A,325,D,0,D,,A,,A,1300,D,0,D,,A,,A,,A,,A
20171,03391174,27,0,1,1560,D,390,D,520,D,260,D,0,D,,A,,A,1170,D,0,D,,A,,A,,A,,A
20171,03391184,35,0,1,3900,D,650,D,,A,1300,D,150,D,,A,,A,3250,D,1050,D,,A,,A,,A,,A
20171,03391194,38,0,1,650,D,0,D,260,D,975,D,360,D,126,D,,A,650,D,60,D,,A,,A,,A,,A
20171,03391214,15,0,1,780,D,65,D,,A,0,D,0,D,,A,,A,715,D,0,D,,A,,A,,A,,A
20171,03391234,24,0,1,975,D,260,D,,A,0,D,0,D,,A,,A,715,D,0,D,25,D,325,D,,A,,A
20171,03391244,27,0,1,1515,F,,A,,A,752,F,162,F,,A,,A,1239,F,153,F,,A,,A,,A,,A
20171,03391254,46,0,1,1300,D,325,D,,A,975,D,0,D,,A,,A,975,D,0,D,,A,,A,,A,,A
20171,03391264,10,0,1,863,F,,A,,A,496,F,91,F,,A,,A,672,F,106,F,,A,,A,,A,,A
20171,03391284,40,0,1,1950,D,650,D,520,D,1300,D,0,D,,A,,A,1300,D,0,D,,A,,A,,A,,A
20171,03391294,25,0,1,1040,D,195,D,,A,520,D,0,D,,A,,A,845,D,0,D,,A,,A,,A,,A
20171,03391304,20,0,1,650,D,0,D,,A,260,D,0,D,,A,,A,650,D,0,D,,A,,A,,A,,A
20171,03391314,36,0,1,1300,D,260,D,,A,0,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20171,03391324,42,0,1,1625,D,0,D,,A,130,D,0,D,,A,,A,1625,D,0,D,,A,,A,130,D,10,D
20171,03391374,51,0,1,455,D,0,D,,A,130,D,120,D,,A,,A,455,D,0,D,,A,,A,,A,,A
20171,03391384,33,0,1,1950,D,455,D,,A,2600,D,60,D,,A,113,D,1495,D,90,D,,A,,A,,A,,A
20171,03391394,31,0,1,585,D,130,D,,A,650,D,0,D,,A,,A,455,D,60,D,,A,,A,,A,,A
20171,03391414,22,0,1,260,D,65,D,,A,0,D,0,D,,A,,A,195,D,0,D,,A,,A,,A,,A
