QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISCDE9_,MISPURCH
20181,03648854,8,0,1,250,D,13,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03648884,27,0,1,390,D,10,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03648934,29,0,1,180,D,13,D,1,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03648944,35,0,1,170,D,10,D,1,D,163,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03648944,36,0,1,170,D,12,D,1,D,163,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03648944,37,0,1,210,D,12,D,1,D,459,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03648944,38,0,1,460,D,11,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03648974,9,0,1,370,D,13,D,1,D,42,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03648984,19,0,1,330,D,11,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03648984,20,0,1,240,D,11,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03648984,21,0,2,240,D,10,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649034,11,0,1,390,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649054,50,0,1,240,D,13,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649054,51,0,1,240,D,13,D,1,D,36,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649054,52,0,1,240,D,12,D,1,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649054,53,0,1,240,D,13,D,1,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649074,8,0,2,260,D,10,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649084,18,0,1,260,D,11,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03649084,19,0,2,390,D,10,D,1,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
