QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20173,03695181,39,0,1,05,D,,C,,A,,H,500,D,1,D,2,D,500,D,380,D,,A,,A,,A,,A,,A,,A,,A
20173,03695181,39,1,1,05,D,,B,,A,25,G,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,39,2,1,05,D,,B,,A,10,G,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,39,3,1,05,D,,B,,A,121,G,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695181,39,4,1,05,D,,B,,A,194,G,380,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695191,22,0,1,04,D,65,D,,A,65,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695201,24,0,1,05,D,400,D,,A,400,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695201,25,0,1,04,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695241,39,0,1,06,D,158,D,,A,,H,500,D,1,D,2,D,370,D,100,D,,A,,A,,A,,A,,A,,A,,A
20173,03695241,39,1,1,06,D,,B,,A,129,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695241,39,2,1,06,D,,B,,A,29,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695241,40,0,1,04,D,700,D,,A,700,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695281,23,0,1,05,D,60,D,,A,60,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695281,24,0,1,06,D,60,D,,A,60,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695281,25,0,1,04,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695281,26,0,1,05,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695281,27,0,1,06,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695291,15,0,1,04,D,72,D,,A,72,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695291,16,0,1,04,D,120,D,,A,120,D,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695291,17,0,1,04,D,40,D,,A,40,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695291,18,0,1,05,D,40,D,,A,40,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695291,19,0,1,06,D,40,D,,A,40,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695301,21,0,1,04,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695361,46,0,1,06,D,81,D,,A,,H,500,D,1,D,2,D,150,D,100,D,,A,,A,,A,,A,,A,,A,,A
20173,03695361,46,1,1,06,D,,B,,A,81,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03695361,47,0,1,06,D,38,D,,A,38,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
