QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX
20171,03390134,13,0,2,160,D,10,D,50,D
20171,03390254,5,0,1,150,D,13,D,20,D
20171,03390264,4,0,1,170,D,12,D,100,D
20171,03390274,1,0,1,170,D,12,D,200,D
20171,03390294,4,0,1,170,D,12,D,130,D
20171,03390294,5,0,1,170,D,12,D,640,D
20171,03390294,6,0,1,160,D,13,D,40,D
20171,03390294,7,0,2,170,D,10,D,100,D
20171,03390294,8,0,2,170,D,10,D,53,D
20171,03390374,5,0,1,170,D,12,D,800,D
20171,03390374,6,0,1,160,D,13,D,10,D
20171,03390434,2,0,1,150,D,13,D,32,D
20171,03390444,3,0,1,140,D,10,D,20,D
20171,03390464,5,0,1,100,D,11,D,50,D
20171,03390464,6,0,1,170,D,11,D,40,D
20171,03390464,7,0,1,170,D,12,D,40,D
20171,03390464,8,0,1,150,D,10,D,80,D
20171,03390464,9,0,1,150,D,11,D,50,D
20171,03390464,10,0,1,150,D,12,D,50,D
20171,03390504,30,0,1,150,D,10,D,340,D
20171,03390504,31,0,1,150,D,11,D,400,D
20171,03390504,32,0,1,150,D,12,D,500,D
20171,03390524,4,0,1,170,D,13,D,600,D
20171,03390524,5,0,1,150,D,13,D,105,D
20171,03390524,6,0,1,160,D,12,D,50,D
20171,03390534,1,0,1,150,D,12,D,30000,D
20171,03390574,7,0,1,160,D,10,D,82,D
20171,03390574,8,0,1,160,D,11,D,82,D
20171,03390574,9,0,1,160,D,12,D,15,D
20171,03390614,16,0,1,170,D,12,D,5,D
20171,03390624,5,0,1,150,D,13,D,100,D
20171,03390624,6,0,1,160,D,10,D,100,D
20171,03390624,7,0,1,160,D,11,D,25,D
20171,03390624,8,0,1,160,D,13,D,40,D
20171,03390624,9,0,1,160,D,12,D,100,D
20171,03390624,10,0,1,160,D,12,D,100,D
20171,03390654,2,0,1,170,D,12,D,500,D
20171,03390654,3,0,1,160,D,12,D,5,D
20171,03390684,11,0,1,150,D,11,D,40,D
20171,03390684,12,0,1,150,D,12,D,60,D
20171,03390704,4,0,1,170,D,12,D,150,D
20171,03390754,3,0,1,150,D,13,D,1200,D
20171,03390804,18,0,1,170,D,12,D,385,D
20171,03390814,14,0,1,160,D,13,D,24,D
20171,03390954,3,0,1,150,D,13,D,5,D
20171,03391024,9,0,1,170,D,13,D,10,D
20171,03391024,10,0,1,170,D,12,D,350,D
20171,03391064,8,0,1,170,D,12,D,1200,D
20171,03391094,2,0,1,150,D,13,D,20,D
20171,03391124,2,0,1,150,D,13,D,315,F
20171,03391184,2,0,1,150,D,13,D,1000,D
20171,03391234,2,0,1,150,D,13,D,10,D
20171,03391254,7,0,1,160,D,12,D,75,D
20171,03391284,7,0,1,100,D,13,D,500,D
