QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,TICPURCH,SUBPURCH
20171,03387314,35,0,1,510,D,1,D,200,D,10,D,,
20171,03387314,36,0,1,510,D,1,D,200,D,11,D,,
20171,03387314,37,0,1,510,D,1,D,200,D,12,D,,
20171,03387314,38,0,1,330,D,1,D,100,D,13,D,,
20171,03387314,39,0,1,360,D,1,D,50,D,13,D,,
20171,03387314,40,0,2,610,D,1,D,440,F,10,D,,
20171,03387314,41,0,2,510,D,1,D,15,F,10,D,,
20171,03387314,42,0,2,210,D,1,D,40,F,10,D,,
20171,03387384,12,0,1,150,D,1,D,21,D,11,D,,
20171,03387404,26,0,1,510,D,1,D,30,D,10,D,,
20171,03387414,29,0,2,340,D,1,D,40,D,10,D,,
20171,03387424,62,0,1,600,D,1,D,22,D,11,D,,
20171,03387424,63,0,1,510,D,1,D,48,D,11,D,,
20171,03387424,64,0,1,210,D,1,D,20,D,12,D,,
20171,03387424,65,0,1,340,D,1,D,25,D,12,D,,
20171,03387444,27,0,1,830,D,1,D,15,D,13,D,,
20171,03387444,28,0,1,160,D,1,D,12,D,10,D,,
20171,03387444,29,0,1,360,D,1,D,16,D,13,D,,
20171,03387444,30,0,1,360,D,1,D,15,D,13,D,,
20171,03387474,12,0,1,830,D,1,D,30,D,13,D,,
20171,03387474,13,0,1,360,D,1,D,8,D,13,D,,
20171,03387474,14,0,1,330,D,1,D,10,D,13,D,,
20171,03387584,41,0,1,500,D,1,D,37,D,12,D,,
20171,03387584,42,0,1,510,D,1,D,143,D,12,D,,
20171,03387584,43,0,1,360,D,1,D,22,D,13,D,,
20171,03387594,36,0,1,360,D,1,D,13,D,11,D,,
20171,03387654,19,0,1,150,D,1,D,32,D,10,D,,
20171,03387654,20,0,1,150,D,1,D,32,D,11,D,,
20171,03387654,21,0,1,150,D,1,D,32,D,12,D,,
20171,03387664,24,0,1,830,D,1,D,30,D,13,D,,
20171,03387664,25,0,1,510,D,1,D,20,D,11,D,,
20171,03387664,26,0,1,500,D,1,D,200,D,11,D,,
20171,03387664,27,0,1,510,D,1,D,40,D,10,D,,
20171,03387664,28,0,1,510,D,1,D,40,D,11,D,,
20171,03387664,29,0,1,510,D,1,D,40,D,12,D,,
20171,03387664,30,0,1,330,D,1,D,8,D,13,D,,
20171,03387664,31,0,1,360,D,1,D,7,D,13,D,,
20171,03387664,32,0,1,370,D,1,D,320,D,12,D,,
20171,03387664,33,0,2,510,D,1,D,20,D,10,D,,
20171,03387684,22,0,1,830,D,1,D,30,D,13,D,,
20171,03387684,23,0,1,510,D,1,D,30,D,11,D,,
20171,03387684,24,0,1,150,D,1,D,30,D,10,D,,
20171,03387684,25,0,1,360,D,1,D,10,D,13,D,,
20171,03387694,25,0,1,510,D,1,D,32,D,12,D,,
20171,03387694,26,0,1,360,D,1,D,9,D,13,D,,
20171,03387694,27,0,1,360,D,1,D,11,D,13,D,,
20171,03387744,19,0,1,360,D,1,D,10,D,13,D,,
20171,03387814,27,0,1,600,D,1,D,100,D,12,D,,
20171,03387814,28,0,1,600,D,1,D,80,D,10,D,,
20171,03387814,29,0,2,600,D,1,D,120,D,10,D,,
20171,03387904,41,0,1,210,D,1,D,30,F,11,D,,
20171,03387904,42,0,1,360,D,1,D,10,D,13,D,,
20171,03388044,28,0,1,840,D,1,D,10,F,12,D,,
20171,03388094,52,0,1,610,D,1,D,130,D,10,D,,
20171,03388094,53,0,1,500,D,1,D,60,D,12,D,,
20171,03388094,54,0,1,510,D,1,D,15,D,10,D,,
20171,03388094,55,0,1,210,D,1,D,80,D,11,D,,
20171,03388094,56,0,1,310,D,1,D,25,D,12,D,,
20171,03388094,57,0,1,350,D,1,D,15,D,13,D,,
20171,03388144,18,0,1,830,D,1,D,35,D,13,D,,
20171,03388144,19,0,1,510,D,1,D,200,D,11,D,,
20171,03388154,9,0,1,830,D,1,D,50,D,13,D,,
20171,03388194,18,0,2,510,D,1,D,40,D,10,D,,
