QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,HHIPDLIB,HHIP_LIB,HHISTATB,HHIS_ATB,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIPRDED,HHIP_DED,HHIR_MPD,QHI3MCX,QHI3MCX_,HHIBCBS,HHIBCBS_,HHICODE,HHICODE_,HHIPOS,HHIPOS_,HHISPECT,HHIS_ECT,HHIPROUT,HHIP_OUT,HHIPRYOU,HHIP_YOU,HHIRPMPD,HHISUBPD,HHIS_BPD,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS
20171,03428014,8,0,5,02,D,,A,4,D,2,D,1,D,D,90,D,2,D,4,D,,A,1,D,,A,1,D,04,,A,,A,,A,,A
20171,03428054,4,0,5,01,D,,A,1,D,2,D,1,D,D,585,D,1,D,2,D,,A,,A,,A,1,D,02,,A,,A,,A,,A
20171,03428064,3,0,5,01,D,,A,1,D,1,D,2,D,D,960,D,2,D,3,D,,A,,A,,A,1,D,09,,A,2,D,,A,,A
20171,03428094,16,0,5,01,D,,A,1,D,2,D,2,D,D,204,D,2,D,1,D,2,D,,A,,A,1,D,04,,A,,A,,A,,A
20171,03428094,17,0,5,02,D,,A,1,D,1,D,2,D,D,1899,D,2,D,1,D,2,D,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03428094,18,0,1,03,D,,A,1,D,1,D,2,D,D,318,D,2,D,3,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03428104,9,0,1,01,D,,A,3,D,3,D,2,D,D,46,F,2,D,1,D,,C,,A,,A,1,D,04,,A,1,D,,C,,C
20171,03428134,4,0,5,01,D,,A,1,D,3,D,,A,A,,A,2,D,5,D,,A,,A,2,D,2,D,,,A,,A,,A,,A
20171,03428144,11,0,5,01,D,,A,1,D,2,D,2,D,D,1350,D,2,D,2,D,,A,,A,,A,1,D,04,,A,,A,,A,,A
20171,03428164,13,0,5,01,D,,A,2,D,3,D,2,D,D,819,D,2,D,3,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03428174,7,0,5,01,D,,A,3,D,3,D,,A,A,,A,2,D,2,D,,A,,A,2,D,2,D,,1,D,1,D,,C,1,D
20171,03428214,6,0,5,01,D,,A,3,D,2,D,1,D,D,240,D,1,D,4,D,,A,4,D,,A,1,D,04,,A,,A,,A,,A
20171,03428224,23,0,5,01,D,,A,4,D,2,D,1,D,D,600,D,1,D,2,D,,A,,A,,A,1,D,03,,A,,A,,A,,A
20171,03428234,5,0,5,01,D,,A,2,D,2,D,,A,A,,A,1,D,1,D,,C,,A,1,D,2,D,,,A,,A,,A,,A
20171,03428264,5,0,5,01,D,,A,1,D,2,D,,A,A,,A,2,D,5,D,,A,,A,1,D,2,D,,,A,,A,,A,,A
20171,03428294,7,0,5,01,D,,A,1,D,3,D,1,D,D,480,D,2,D,2,D,,A,,A,,A,1,D,03,,A,2,D,,A,,A
20171,03428324,16,0,5,01,D,,A,1,D,2,D,1,D,D,105,D,2,D,2,D,,A,,A,,A,1,D,04,,A,,A,,A,,A
20171,03428324,25,0,C,02,D,,A,2,D,2,F,,B,B,160,D,2,D,4,D,,A,4,D,,A,,A,,,A,,A,,A,,A
20171,03428364,5,0,5,01,D,,A,1,D,3,D,,A,A,,A,2,D,2,D,,A,,A,2,D,2,D,,,C,1,D,1,D,1,D
20171,03428384,13,0,1,01,D,,A,1,D,1,D,2,D,D,825,D,1,D,3,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03428414,6,0,5,01,D,,A,1,D,2,D,1,D,D,276,D,1,D,2,D,,A,,A,,A,1,D,04,,A,,A,,A,,A
20171,03428434,6,0,5,01,D,,A,2,D,1,D,2,D,D,2600,D,1,D,3,D,,A,,A,,A,1,D,02,,A,2,D,,A,,A
20171,03428534,4,0,5,01,D,,A,1,D,1,D,,A,A,,A,1,D,1,D,2,D,,A,2,D,2,D,,,A,2,D,,A,,A
20171,03428544,13,0,5,01,D,,A,2,D,2,D,1,D,D,1560,D,1,D,2,D,,A,,A,,A,1,D,01,,A,,A,,A,,A
20171,03428544,14,0,1,02,D,,A,1,D,2,D,1,D,D,225,D,2,D,2,D,,A,,A,,A,1,D,04,,A,,A,,A,,A
20171,03428584,5,0,5,01,D,,A,1,D,2,D,1,D,D,,A,1,D,1,D,2,D,,A,,A,1,D,03,,A,,A,,A,,A
20171,03428584,6,0,5,02,D,,A,1,D,2,D,,C,D,1200,D,2,D,1,D,2,D,,A,,A,1,D,03,,A,,A,,A,,A
20171,03428584,7,0,5,03,D,,A,2,D,2,D,,A,A,,A,2,D,1,D,2,D,,A,1,D,2,D,,,A,,A,,A,,A
20171,03428604,3,0,5,01,D,,A,2,D,3,D,2,D,D,663,D,2,D,2,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03428654,21,0,5,01,D,,A,4,D,2,D,1,D,D,1248,D,2,D,1,D,1,D,,A,,A,1,D,03,,A,,A,,A,,A
20171,03428654,22,0,5,02,D,,A,4,D,2,D,1,D,D,162,D,2,D,4,D,,A,1,D,,A,1,D,03,,A,,A,,A,,A
20171,03428654,23,0,5,03,D,,A,4,D,2,D,1,D,D,78,D,2,D,4,D,,A,2,D,,A,1,D,03,,A,,A,,A,,A
20171,03428714,3,0,1,01,D,,A,1,D,1,D,2,D,D,6000,D,2,D,2,D,,A,,A,,A,1,D,09,,A,2,D,,A,,A
20171,03428754,9,0,5,01,D,,A,2,D,3,D,,A,A,,A,2,D,3,D,,A,,A,2,D,2,D,,,A,2,D,,A,,A
20171,03428794,18,0,5,01,D,,A,1,D,2,D,1,D,D,449,D,2,D,2,D,,A,,A,,A,1,D,02,,A,,A,,A,,A
20171,03428794,19,0,5,02,D,,A,2,D,2,D,,A,A,,A,1,D,2,D,,A,,A,2,D,2,D,,,A,,A,,A,,A
20171,03428824,6,0,5,02,D,,A,4,D,2,D,1,D,D,390,D,2,D,2,D,,A,,A,,A,1,D,02,,A,,A,,A,,A
20171,03428834,8,0,5,01,D,,A,6,D,3,D,2,D,D,600,D,2,D,1,D,1,D,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03428874,23,0,5,02,D,,A,3,D,1,D,2,D,D,750,D,2,D,1,D,1,D,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03428874,24,0,5,03,D,,A,1,D,2,D,1,D,D,600,D,2,D,1,D,2,D,,A,,A,1,D,04,,A,,A,,A,,A
20171,03428874,25,0,1,04,D,,A,4,D,2,D,1,D,D,636,F,1,D,2,D,,A,,A,,A,1,D,03,,A,,A,,A,,A
20171,03428914,12,0,5,01,D,,A,3,D,2,D,1,D,D,1800,D,2,D,2,D,,A,,A,,A,1,D,04,,A,,A,,A,,A
20171,03428934,4,0,5,01,D,,A,4,D,2,D,1,D,D,2700,D,1,D,1,D,1,D,,A,,A,1,D,04,,A,,A,,A,,A
20171,03428944,14,0,5,01,D,,A,1,D,1,D,2,D,D,1260,D,2,D,3,D,,A,,A,,A,1,D,04,,A,2,D,,A,,A
20171,03429014,8,0,5,01,D,,A,1,D,2,D,1,D,D,,A,2,D,2,D,,A,,A,,A,1,D,09,,A,,A,,A,,A
