QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20173,03666312,1,0,1,100,D,1,D,08,D,1100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03666642,1,0,1,160,D,1,D,08,D,620,D,,A,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03667462,1,0,1,140,D,1,D,06,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03667832,1,0,1,195,D,1,D,06,D,599,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03667992,1,0,1,120,D,1,D,06,D,300,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03668112,1,0,1,195,D,1,D,07,D,567,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03668792,1,0,1,195,D,1,D,07,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03669202,1,0,1,120,D,1,D,08,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03669452,1,0,1,140,D,1,D,06,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03669652,1,0,1,195,D,1,D,06,D,106,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03669922,1,0,1,220,D,1,D,07,D,,H,,A,,A,180,D,120,D,,A,,A,,A,,A,,A,,A,,A
20173,03669922,1,1,1,180,D,1,D,07,D,169,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03669922,1,2,1,120,D,1,D,07,D,98,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03670082,1,0,1,140,D,1,D,08,D,500,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03670082,2,0,1,195,D,1,D,08,D,500,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03670482,1,0,1,195,D,1,D,08,D,143,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03670582,1,0,1,140,D,1,D,08,D,148,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03670662,1,0,1,120,D,1,D,08,D,71,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03671332,1,0,1,100,D,1,D,08,D,550,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03671332,2,0,1,120,D,1,D,08,D,200,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03692241,1,0,1,195,D,1,D,05,D,732,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03692353,1,0,1,195,D,1,D,06,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03692353,2,0,1,120,D,1,D,06,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03692471,1,0,1,160,D,1,D,06,D,600,D,,A,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03692771,1,0,1,195,D,1,D,05,D,1800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03692891,1,0,1,220,D,1,D,06,D,,H,,A,,A,100,D,210,D,140,D,160,D,180,D,195,D,120,D,,A,,A
20173,03692891,1,1,1,100,D,1,D,06,D,2150,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03692891,1,2,1,140,D,1,D,06,D,1447,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20173,03692891,1,3,1,160,D,1,D,06,D,806,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
