QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20171,03391184,19,0,5,01,D,105,D,2015,D,,A,36,D,01,D,570,D,3,D,,A,,A,,A,,A,,A,570,D,570,D,570,D,,A,,A,,A,,A,,A,D,,A,2015,D,LIN
20171,03391254,20,0,5,01,D,105,D,2016,D,,A,24,D,10,D,200,D,3,D,,A,,A,1000,D,,A,,A,200,D,200,D,200,D,,A,,A,,A,1000,D,,A,D,,A,2015,D,CHE
20171,03391254,22,0,5,03,D,105,D,2016,D,,A,24,D,07,D,336,D,3,D,,A,,A,,A,,A,,A,336,D,336,D,336,D,,A,,A,,A,,A,,A,D,,A,2016,D,CHE
20171,03391284,20,0,5,01,D,105,D,2014,D,,A,36,D,10,D,500,D,3,D,,A,18000,D,2500,D,,A,,A,500,D,500,D,500,D,,A,,A,,A,2500,D,,A,D,,A,2014,D,LEX
20171,03391414,5,0,5,01,D,105,D,2014,D,,A,39,D,06,D,,C,3,D,,A,,A,,A,,A,,A,550,F,550,F,550,F,,A,,A,,A,,A,,A,D,,A,2014,D,CHE
20171,03391444,23,0,5,01,D,105,D,2012,D,,A,60,D,06,D,480,D,3,D,,A,,A,3000,D,,A,,A,480,D,480,D,480,D,,A,,A,,A,3000,D,,A,D,,A,2016,D,VOK
20171,03391524,15,0,5,02,D,105,D,2016,D,,A,32,D,07,D,650,D,3,D,,A,,A,,A,,A,,A,650,D,650,D,650,D,,A,,A,,A,,A,,A,D,,A,2016,D,BMW
20171,03392044,31,0,5,01,D,105,D,,C,,A,,C,03,F,,C,3,D,,A,,A,,A,,A,,A,320,F,320,F,320,F,,A,,A,,A,,A,,A,D,,A,2014,F,BUI
20171,03392834,12,0,1,01,D,105,D,2017,D,,A,36,D,10,D,249,D,3,D,,A,6000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,D,,A,2017,D,TOY
20171,03392964,12,0,5,01,D,105,D,2014,D,,A,39,D,05,D,232,D,3,D,,A,3800,D,,A,,A,,A,232,D,232,D,232,D,,A,,A,,A,,A,,A,D,,A,2014,D,CHE
20171,03393704,34,0,5,01,D,105,D,2016,D,,A,36,D,02,D,242,D,3,D,,A,,A,242,D,,A,,A,242,D,242,D,242,D,,A,,A,,A,242,D,,A,D,,A,2016,D,VOK
20171,03393704,35,0,5,02,D,105,D,2016,D,,A,36,D,10,D,492,D,3,D,492,D,24000,D,,A,,A,,A,0,D,0,D,0,D,,A,,A,,A,,A,,A,D,,A,2015,D,GMC
20171,03393744,13,0,5,01,D,105,D,2016,D,,A,36,D,05,D,380,D,3,D,,A,,A,,A,,A,12,D,380,D,380,D,380,D,,A,,A,,A,,A,,A,D,,A,2016,D,MRB
20171,03394414,11,0,5,01,D,105,D,2014,D,,A,3,D,04,D,500,D,3,D,,A,,A,,A,,A,,A,500,D,500,D,500,D,,A,,A,,A,,A,,A,D,,A,2014,D,ACU
