QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,APPRPB9_,EQBPURCH
20171,03417104,17,0,2,190,D,11,D,146,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03417144,4,0,2,220,D,11,D,79,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03417194,9,0,2,190,D,11,D,111,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03417194,10,0,2,200,D,11,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03417194,11,0,2,210,D,11,D,,H,100,D,200,D,110,D,,A,,A,,A,,A,,A,,A,
20171,03417194,11,1,2,100,D,11,D,23,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03417194,11,2,2,200,D,11,D,17,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03417194,11,3,2,110,D,11,D,24,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03417694,8,0,1,220,D,01,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03417694,9,0,1,220,D,01,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03418114,4,0,1,190,D,11,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03418264,4,0,1,110,D,02,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03418914,3,0,1,130,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03418914,4,0,1,130,D,02,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03418914,5,0,1,190,D,02,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03418914,6,0,2,130,D,12,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03420054,4,0,2,190,D,12,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03420344,11,0,2,130,D,12,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03420354,16,0,1,110,D,02,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03420534,13,0,1,220,D,12,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03420534,14,0,1,220,D,01,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03420534,15,0,1,220,D,02,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03420574,5,0,1,110,D,02,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03420684,6,0,1,120,D,12,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03421174,30,0,1,190,D,12,D,69,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03421504,11,0,1,110,D,12,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20171,03421624,2,0,1,110,D,01,D,543,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
