QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20171,03387834,21,0,1,620,D,1,D,13,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387904,16,0,1,430,D,2,D,12,D,,H,420,D,330,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387904,16,1,1,420,D,2,D,12,D,180,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387904,16,2,1,330,D,2,D,12,D,720,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387904,17,0,1,420,D,1,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387904,18,0,1,420,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387904,19,0,1,420,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387904,20,0,1,620,D,1,D,11,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387964,12,0,1,420,D,1,D,11,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03387964,13,0,1,620,D,1,D,13,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388044,9,0,1,330,D,1,D,12,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388044,10,0,1,420,D,1,D,10,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388044,11,0,1,420,D,1,D,11,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388044,12,0,1,900,D,1,D,12,D,,H,510,D,420,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388044,12,1,1,510,D,1,D,12,D,2,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388044,12,2,1,420,D,1,D,12,D,3,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388044,13,0,1,620,D,1,D,10,D,14,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388044,14,0,1,620,D,1,D,11,D,33,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388044,15,0,1,620,D,1,D,12,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388044,16,0,1,655,D,1,D,10,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20171,03388044,17,0,1,655,D,1,D,11,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20171,03388044,18,0,1,655,D,1,D,12,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20171,03388044,19,0,2,420,D,1,D,10,D,14,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388094,31,0,1,420,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388094,32,0,1,510,D,1,D,11,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388094,33,0,1,620,D,1,D,13,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388144,13,0,1,420,D,1,D,11,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388144,14,0,1,200,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388144,15,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388154,7,0,1,120,D,1,D,10,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388174,12,0,1,200,D,1,D,12,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388174,13,0,1,420,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
