QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20174,03660403,46,0,1,420,D,09,D,70,D,,A,,A,,A,,A
20174,03660473,28,0,2,405,D,08,D,4250,D,,A,,A,,A,,A
20174,03660623,49,0,1,420,D,11,D,95,D,,A,,A,,A,,A
20174,03660803,29,0,1,410,D,10,D,32,D,,A,,A,,A,,A
20174,03660873,27,0,1,410,D,10,D,50,D,,A,,A,,A,,A
20174,03660983,76,0,1,420,D,09,D,270,D,,A,,A,,A,,A
20174,03661043,51,0,1,405,D,10,D,300,D,,A,,A,,A,,A
20174,03661113,22,0,1,400,D,11,D,30,D,,A,,A,,A,,A
20174,03661143,69,0,1,410,D,11,D,16,D,,A,,A,,A,,A
20174,03661143,70,0,1,420,D,11,D,80,D,,A,,A,,A,,A
20174,03661143,71,0,2,410,D,09,D,16,D,,A,,A,,A,,A
20174,03661213,56,0,1,410,D,10,D,25,D,,A,,A,,A,,A
20174,03661223,19,0,1,410,D,10,D,20,D,,A,,A,,A,,A
20174,03661333,29,0,1,420,D,10,D,65,D,,A,,A,,A,,A
20174,03661363,45,0,1,420,D,10,D,102,D,,A,,A,,A,,A
20174,03661393,21,0,1,420,D,11,D,110,D,,A,,A,,A,,A
20174,03661453,36,0,1,410,D,11,D,20,D,,A,,A,,A,,A
20174,03661453,37,0,1,420,D,11,D,270,D,,A,,A,,A,,A
20174,03661644,29,0,1,410,D,11,D,270,D,,A,,A,,A,,A
20174,03661703,31,0,1,405,D,11,D,1800,D,,A,,A,,A,,A
20174,03661713,29,0,1,430,D,11,D,,H,405,D,415,D,,A,,A
20174,03661713,29,1,1,405,D,11,D,203,E,,A,,A,,A,,A
20174,03661713,29,2,1,420,D,11,D,153,E,,A,,A,,A,,A
20174,03661823,41,0,1,420,D,11,D,40,D,,A,,A,,A,,A
20174,03662003,36,0,1,420,D,11,D,140,D,,A,,A,,A,,A
20174,03662163,25,0,1,400,D,09,D,180,D,,A,,A,,A,,A
20174,03662233,34,0,1,420,D,09,D,108,D,,A,,A,,A,,A
20174,03662383,54,0,1,420,D,10,D,72,D,,A,,A,,A,,A
20174,03662483,30,0,1,420,D,11,D,45,D,,A,,A,,A,,A
20174,03662513,30,0,2,410,D,09,D,80,D,,A,,A,,A,,A
20174,03662533,27,0,1,420,D,11,D,108,D,,A,,A,,A,,A
20174,03662533,28,0,1,405,D,11,D,95,D,,A,,A,,A,,A
20174,03662563,37,0,1,400,D,09,D,37,D,,A,,A,,A,,A
20174,03662673,52,0,1,420,D,11,D,90,D,,A,,A,,A,,A
20174,03662673,53,0,1,420,D,11,D,150,D,,A,,A,,A,,A
20174,03662823,73,0,1,400,D,10,D,18,D,,A,,A,,A,,A
20174,03662823,74,0,1,420,D,10,D,139,D,,A,,A,,A,,A
