QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20171,03441983,18,0,5,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,3000,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03441993,14,0,1,01,D,100,D,,A,3,D,12,F,2006,D,,A,,A,,A,1100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03441993,15,0,1,02,D,200,D,,A,1,D,,B,1998,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03442033,12,0,5,01,D,100,D,,A,3,D,,B,1981,D,,A,,A,,A,1200,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442063,15,0,5,01,D,100,D,,A,3,D,,B,,C,,A,,A,,A,1500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442093,16,0,5,01,D,100,D,,A,3,D,07,D,2016,D,399000,D,100000,D,3300,D,4000,D,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20171,03442123,9,0,5,01,D,100,D,,A,3,D,,B,2008,D,,A,,A,,A,4700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442223,13,0,5,01,D,100,D,,A,3,D,,B,1965,D,,A,,A,,A,900,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442233,28,0,5,01,D,100,D,,A,3,D,,B,1987,D,,A,,A,,A,2100,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442243,11,0,5,01,D,100,D,,A,3,D,,B,,C,,A,,A,,A,3000,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442253,51,0,5,01,D,100,D,,A,3,D,,B,1977,D,,A,,A,,A,950,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442283,19,0,5,01,D,100,D,,A,3,D,,B,1998,D,,A,,A,,A,2000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442293,17,0,5,01,D,100,D,,A,3,D,,B,2002,D,,A,,A,,A,18759,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442323,16,0,5,01,D,100,D,,A,1,D,04,D,2015,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442333,31,0,5,01,D,100,D,,A,3,D,,B,1994,D,,A,,A,,A,5200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442353,28,0,5,01,D,100,D,,A,3,D,,B,1990,D,,A,,A,,A,2000,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442363,58,0,5,01,D,100,D,,A,3,D,,B,2000,D,,A,,A,,A,6500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442383,26,0,5,01,D,100,D,,A,3,D,,B,1985,D,,A,,A,,A,970,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442393,15,0,1,01,D,100,D,,A,3,D,,B,2005,D,,A,,A,,A,480,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442423,19,0,5,01,D,100,D,,A,3,D,,B,1999,D,,A,,A,,A,0,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442463,39,0,5,01,D,100,D,,A,3,D,,B,1997,D,,A,,A,,A,9600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442463,40,0,5,02,D,300,D,,A,3,D,,B,2007,D,,A,,A,,A,1000,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20171,03442463,41,0,5,03,D,600,D,,A,,A,,B,,B,,A,,A,,A,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03442483,19,0,5,01,D,100,D,,A,3,D,,B,1977,D,,A,,A,,A,890,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20171,03442493,10,0,5,01,D,100,D,,A,3,D,03,D,2016,D,,A,,A,,A,860,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
