QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20173,03664272,35,0,5,01,D,100,D,.0784,D,91184,D,15,D,863,D,,A,,A,,A,,A,0,D,405,D,408,D,411,D,458,D,455,D,452,D,,A,02,D,2012,D,1,D,,A,70032,D,69627,D,69219,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03664332,18,0,5,01,D,100,D,.0460,D,126013,D,30,D,852,D,3,D,4,D,,A,,A,206,D,213,D,214,D,215,D,433,D,432,D,431,D,,A,08,D,2011,D,1,D,,A,112958,D,112745,D,112531,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03664412,17,0,1,01,D,100,D,.0784,D,217397,D,30,D,2000,D,3,D,,A,,A,,A,429,D,178,D,180,D,181,D,1295,D,1294,D,1293,D,,A,04,D,2015,D,1,D,,A,213142,D,212964,D,212784,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03664422,28,0,5,01,D,100,D,.0430,D,175000,D,30,D,1314,D,3,D,4,D,,A,,A,448,D,291,D,292,D,293,D,575,D,574,D,573,D,,A,11,D,2012,D,1,D,,A,160504,D,160213,D,159921,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03664432,35,0,5,01,D,100,D,.0800,D,104000,D,30,D,1100,D,3,D,4,D,,A,,A,337,D,293,D,295,D,297,D,470,D,468,D,466,D,,A,06,D,1999,D,1,D,,A,70554,D,70261,D,69967,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03664482,14,0,5,01,D,100,D,.0784,D,75000,D,30,D,600,D,3,D,4,D,5,D,,A,58,D,52,D,52,D,53,D,490,D,490,D,489,D,,A,06,D,2017,D,1,D,,A,75000,D,74948,D,74896,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03664772,22,0,5,01,D,100,D,.0400,D,33000,D,15,D,283,D,,B,,B,,B,,B,39,D,145,D,146,D,146,D,99,D,98,D,98,D,,A,06,D,2015,D,1,D,,A,29658,D,29513,D,29367,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03664942,10,0,5,01,D,100,D,.0500,D,24000,D,30,D,2400,D,3,D,,A,,A,,A,2271,D,57,D,57,D,57,D,72,D,72,D,72,D,,A,01,D,2004,D,1,D,,A,17366,D,17309,D,17253,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20173,03664992,20,0,5,01,D,100,D,.0784,D,55000,D,15,D,1782,D,3,D,4,D,5,D,,A,1261,D,207,D,208,D,210,D,314,D,313,D,311,D,,A,04,D,2014,D,1,D,,A,48052,D,47845,D,47637,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20173,03665012,16,0,5,01,D,100,D,.0450,D,189000,D,30,D,1309,D,3,D,,A,,A,,A,351,D,415,D,416,D,418,D,543,D,542,D,540,D,,A,02,D,2006,D,1,D,,A,144886,D,144471,D,144055,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
