,true_mean,oracle_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,lin_oracle,nn_oracle,nn_pi_oracle,nn_wmse_oracle
25,11.90991738,12.07201962,11.50941098,12.75595047,11.6386638,11.63593094,11.99751783,11.99878798,-49.10779154
26,11.90991738,11.92228708,11.35400737,12.50110905,11.40595888,11.39514649,11.85860883,11.84348155,12.55922837
27,11.90991738,11.80635771,11.21531218,12.45424499,11.28073408,11.2854589,11.75758596,11.83232851,-89.5967876
28,11.90991738,11.91878956,11.29450015,12.50302946,11.41313878,11.3981834,11.91240907,11.90327497,-13.10877491
29,11.90991738,11.87365474,11.39642268,12.55828613,11.50493612,11.50301496,11.78113158,11.83124852,8.499591206
30,11.90991738,12.23431185,11.7634332,12.92155026,11.83694976,11.83237502,12.25799765,12.27895409,-410.958384
31,11.90991738,11.99759497,11.42941641,12.59136601,11.51864666,11.52412408,12.01766955,11.90740337,46.89677048
32,11.90991738,12.02034654,11.6192306,12.7422814,11.67669219,11.67741641,11.97229846,11.93175606,-49.46319307
33,11.90991738,11.89706103,11.45061021,12.68759951,11.58256336,11.5683204,11.89723833,11.88040925,-622.8535607
34,11.90991738,11.82127865,11.29596917,12.59639255,11.39954339,11.405666,11.79337245,11.76016917,14.30761748
35,11.90991738,11.94149381,11.35952449,12.58978323,11.50502392,11.49825849,11.90085638,11.9298065,1120.53751
36,11.90991738,11.83591733,11.26841754,12.48033935,11.42779783,11.40299029,11.74171985,11.75856278,1093.592447
37,11.90991738,11.95416434,11.42760959,12.63730127,11.55178227,11.56957514,11.85776566,11.87212868,-50.53154864
38,11.90991738,11.89265059,11.31801239,12.53793363,11.42354499,11.4200948,11.82864581,11.85037283,-1646.515166
39,11.90991738,11.64626943,10.98016024,12.27468541,11.0795442,11.07852865,11.65365717,11.58712886,-1033.270797
40,11.90991738,12.0201182,11.49475246,12.60752518,11.6022347,11.6035605,12.01108013,11.98590207,-3035.916374
41,11.90991738,12.16264043,11.73862206,12.83154231,11.83220979,11.83425475,12.16039163,12.11153167,-1020.867741
42,11.90991738,12.14619651,11.66850159,12.73620856,11.76937977,11.76601674,12.09204087,12.11257184,-1260.076294
43,11.90991738,11.66509785,11.0882145,12.24559206,11.15599183,11.15021717,11.58049502,11.65396807,0
44,11.90318593,12.09614151,11.58902925,12.6809417,11.65701285,11.66325106,12.06753863,12.03842213,315.8816655
45,11.90318593,11.89460283,11.27302496,12.51265441,11.41335704,11.40841757,11.83102209,11.86792988,69.80880106
46,11.90318593,11.76972321,11.27216513,12.61351718,11.38526489,11.37165695,11.75956979,11.74465682,-1221.174135
47,11.90318593,11.50679173,10.86115391,12.3420422,10.99998698,10.99093299,11.47220887,11.49429818,-17.93457284
48,11.90318593,11.65815469,11.17644593,12.57725423,11.24879676,11.23257214,11.61048065,11.65608603,-195.9006231
49,11.90318593,12.06316211,11.71851346,12.89347888,11.79781776,11.79157038,12.0899555,12.06235914,-804.1982162
50,11.90318593,11.80173378,11.20481741,12.61260767,11.25819919,11.25535809,11.78438149,11.76324026,-2576.996232
51,11.90318593,11.75491987,11.26763062,12.64358821,11.33201201,11.3282685,11.7427498,11.68743394,-832.9873904
52,11.90318593,11.7388714,11.1566513,12.46937777,11.32288495,11.3271685,11.63799912,11.67112878,-1362.314588
