,true_mean,oracle_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,nn_imp_mean,nn_pi_imp_mean,nn_resamp_imp_mean,nn_wmse_imp_mean,nn_deriv_imp_mean
16,62702.47745,62720.62835,46991.56554,43930.29878,49964.75734,47462.05696,51992.22896,53948.78104,50999.16579,51452.56277
17,62702.47745,62720.62835,45762.10819,42176.86876,48764.66139,50034.77614,50708.97958,50494.19121,48992.00816,47407.52257
18,62702.47745,62720.62835,48008.53578,44050.10505,50797.05087,52935.41844,54784.05986,52756.47726,50166.59041,52279.46529
19,62702.47745,62720.62835,46724.32757,43835.85989,49564.98863,52823.58104,50001.3702,52517.13656,52578.48098,51026.11611
20,62702.47745,62720.62835,46357.71619,43275.54329,49142.08578,50851.70959,49483.70019,50748.73359,50082.37083,50624.4826
1,62702.47745,62720.62835,46132.61627,43140.16723,49133.23645,50051.94631,50157.68174,51820.97284,50962.24087,50474.01467
2,62702.47745,62720.62835,46999.20684,44483.64069,50021.68563,50095.51859,50546.61139,52866.85855,52683.6533,52143.06005
3,62702.47745,62720.62835,46650.26205,43868.04951,49554.92832,49947.40998,52177.67487,53455.91449,52448.9247,50568.05777
4,62702.47745,62720.62835,46727.59123,43617.00108,49865.39827,51405.3149,48835.36858,52640.1627,50083.21307,50738.23131
5,62702.47745,62720.62835,46614.73734,43749.53166,49662.51379,51692.22161,50718.49846,53202.85837,51446.81891,49995.97782
6,62702.47745,62720.62835,46308.75793,43495.00149,49257.02,50126.46426,47321.77767,52244.39723,49813.25605,50062.4631
7,62702.47745,62720.62835,46840.23223,43854.58402,49737.95777,51097.17053,52085.26396,52353.02421,49737.96492,51870.32426
8,62702.47745,62720.62835,47682.45156,44134.77906,50446.17077,49691.11073,51025.34719,52517.44294,53342.43868,51648.06866
9,62702.47745,62720.62835,46932.38964,43847.55427,49830.2332,50648.84261,50639.53481,52045.67359,50936.20349,51868.70213
10,62702.47745,62720.62835,47123.43946,43755.48529,50311.04087,51622.38191,51598.88367,52461.33508,52960.84484,49285.64856
11,62702.47745,62720.62835,47243.94622,44523.36866,50394.33719,50881.07829,53781.6831,52709.05747,51298.12609,53114.68701
12,62702.47745,62720.62835,46412.28182,43337.58916,49378.0101,51547.18386,49557.47836,54992.50673,50866.52943,50004.26207
13,62702.47745,62720.62835,46454.67926,43629.86909,49315.56753,52333.33919,50619.7493,52852.07847,50578.2944,52552.58816
14,62702.47745,62720.62835,46772.44585,44043.019,49741.89814,51618.04232,51519.06634,51604.29268,52087.07136,51316.75928
15,62702.47745,62720.62835,47406.19517,43808.02446,50330.39083,53290.19508,50810.16813,52618.23372,51606.73013,51233.71114
16,62702.47745,62720.62835,47361.4245,43394.4886,50794.95644,51425.55561,51780.347,52894.65357,53344.31609,51825.05246
17,62702.47745,62720.62835,47246.04181,44058.67868,50100.44823,51934.94441,52769.90741,51337.12773,50199.43309,50734.76733
18,62702.47745,62720.62835,46476.06543,43574.34759,49431.92265,51290.97122,50639.78374,53305.62716,51411.72897,49054.06232
19,62702.47745,62720.62835,46489.51059,43203.79536,49489.4693,51476.52842,47818.61353,52542.17635,51759.2735,50145.13005
20,62702.47745,62720.62835,47045.77019,43979.68237,50182.3464,50268.89971,49575.52693,52782.46226,51439.44925,51364.33744
1,62702.47745,62720.62835,46824.15178,43592.50864,49679.7504,52566.45011,50623.06177,52295.09267,49822.68013,50832.96819
2,62702.47745,62720.62835,46988.83143,43708.50784,49914.22175,51889.30346,51612.20366,51722.51917,52161.14174,53153.21544
3,62702.47745,62720.62835,46027.10002,43189.78631,49016.67733,51260.46956,50059.04288,52474.95978,49104.33116,50219.45042
4,62702.47745,62720.62835,47272.64989,44009.5805,50087.81826,52162.29716,51174.13857,55353.09832,51427.82787,50484.27211
5,62702.47745,62720.62835,46963.97664,43988.09421,50006.35129,51182.0607,49810.84116,52929.23865,52041.21649,52489.87144
