,True Pop,Oracle,Naïve-Pi,Median Imputation,Weighted Linear Regression,Oracle Weighted Linear Regression,NN  Naïve Imputation,NN Naïve Oracle,NN Pi-Feature Imputation,NN Pi-Feature Oracle,NN Resample Imputation,NN Derived-Parameter Imputation
22,11.90991738,11.75192349,11.2824931,12.44730024,11.3893028,11.37125075,11.59309839,11.75637945,11.43587977,11.661584,11.42149987,11.55350156
23,11.90991738,11.8749414,11.2950139,12.49911814,11.3979589,11.38931144,11.48965715,11.86004274,11.60804067,11.8418315,11.68130793,11.77283424
24,11.90991738,12.00064054,11.57526878,12.67135082,11.63650373,11.60268953,11.86146463,12.00868461,11.93845527,12.04999029,11.58725567,11.9094926
25,11.90991738,12.07201962,11.50941098,12.75595047,11.6386638,11.63593094,11.88591358,11.99751783,11.97590755,11.99878798,11.89351849,12.02429754
26,11.90991738,11.92228708,11.35400737,12.50110905,11.40595888,11.39514649,11.77535941,11.85860883,11.77077847,11.84348155,11.55295484,11.75540795
27,11.90991738,11.80635771,11.21531218,12.45424499,11.28073408,11.2854589,11.47442398,11.75758596,11.59851569,11.83232851,11.61909748,11.61472711
28,11.90991738,11.91878956,11.29450015,12.50302946,11.41313878,11.3981834,11.57690165,11.91240907,11.77388957,11.90327497,11.58112775,11.88359921
29,11.90991738,11.87365474,11.39642268,12.55828613,11.50493612,11.50301496,11.86097122,11.78113158,11.76490074,11.83124852,11.45621083,11.87002233
30,11.90991738,12.23431185,11.7634332,12.92155026,11.83694976,11.83237502,11.96590623,12.25799765,12.12344556,12.27895409,11.64359549,12.10665075
31,11.90991738,11.99759497,11.42941641,12.59136601,11.51864666,11.52412408,11.62633086,12.01766955,11.83702098,11.90740337,11.32182838,11.69076378
32,11.90991738,12.02034654,11.6192306,12.7422814,11.67669219,11.67741641,11.87214993,11.97229846,11.81444103,11.93175606,12.18864805,11.89783822
33,11.90991738,11.89706103,11.45061021,12.68759951,11.58256336,11.5683204,11.90714123,11.89723833,11.84778105,11.88040925,11.78600582,11.87529332
34,11.90991738,11.82127865,11.29596917,12.59639255,11.39954339,11.405666,11.6630371,11.79337245,11.76852183,11.76016917,11.5336265,11.73734347
35,11.90991738,11.94149381,11.35952449,12.58978323,11.50502392,11.49825849,11.73251023,11.90085638,11.72067803,11.9298065,11.61926917,11.76797922
36,11.90991738,11.83591733,11.26841754,12.48033935,11.42779783,11.40299029,11.67688513,11.74171985,11.75598217,11.75856278,11.84981071,11.77060542
37,11.90991738,11.95416434,11.42760959,12.63730127,11.55178227,11.56957514,11.78030487,11.85776566,11.7433333,11.87212868,11.73449298,11.6883674
38,11.90991738,11.89265059,11.31801239,12.53793363,11.42354499,11.4200948,11.68593,11.82864581,11.79739233,11.85037283,11.48342594,11.71214244
39,11.90991738,11.64626943,10.98016024,12.27468541,11.0795442,11.07852865,11.30933892,11.65365717,11.38388517,11.58712886,11.05401416,11.34533938
40,11.90991738,12.0201182,11.49475246,12.60752518,11.6022347,11.6035605,11.72325456,12.01108013,11.75357869,11.98590207,11.84291958,11.87514026
41,11.90991738,12.16264043,11.73862206,12.83154231,11.83220979,11.83425475,12.05636317,12.16039163,12.06532549,12.11153167,12.08343618,12.04066924
42,11.90991738,12.14619651,11.66850159,12.73620856,11.76937977,11.76601674,12.02902601,12.09204087,12.01553328,12.11257184,11.73652801,11.98370614
43,11.90991738,11.66509785,11.0882145,12.24559206,11.15599183,11.15021717,11.41024106,11.58049502,11.45159647,11.65396807,11.10085362,0
44,11.90318593,12.09614151,11.58902925,12.6809417,11.65701285,11.66325106,11.97625202,12.06753863,11.9618242,12.03842213,12.06021186,11.9987691
45,11.90318593,11.89460283,11.27302496,12.51265441,11.41335704,11.40841757,11.55609282,11.83102209,11.84758845,11.86792988,11.61696374,11.7763465
46,11.90318593,11.76972321,11.27216513,12.61351718,11.38526489,11.37165695,11.66415627,11.75956979,11.55876719,11.74465682,11.38684028,11.70744897
47,11.90318593,11.50679173,10.86115391,12.3420422,10.99998698,10.99093299,11.22294282,11.47220887,11.31957767,11.49429818,11.1422914,11.36690928
48,11.90318593,11.65815469,11.17644593,12.57725423,11.24879676,11.23257214,11.49295095,11.61048065,11.57324945,11.65608603,11.40341056,11.57471934
49,11.90318593,12.06316211,11.71851346,12.89347888,11.79781776,11.79157038,12.07700576,12.0899555,12.04626396,12.06235914,12.01739761,12.05166482
50,11.90318593,11.80173378,11.20481741,12.61260767,11.25819919,11.25535809,11.60404699,11.78438149,11.58511562,11.76324026,11.65803676,11.60273519
51,11.90318593,11.75491987,11.26763062,12.64358821,11.33201201,11.3282685,11.36403877,11.7427498,11.61132441,11.68743394,11.83910495,11.62309496
52,11.90318593,11.7388714,11.1566513,12.46937777,11.32288495,11.3271685,11.43049915,11.63799912,11.64811727,11.67112878,11.35849389,11.61032497
53,11.90318593,11.90259004,11.35472196,12.68014019,11.50135232,11.50105915,11.5986519,11.83589025,11.76847585,11.83035101,11.41439148,11.71508236
54,11.90318593,12.0117909,11.5528933,12.69209795,11.60662374,11.59367948,11.76110156,11.96748621,11.8499697,11.97047733,11.72146721,11.82409485
55,11.90318593,11.76075404,11.23036708,12.54163131,11.3453533,11.33918502,11.68458538,11.73296731,11.64773702,11.70765442,11.54242125,11.66729831
56,11.90318593,11.83622436,11.27843207,12.54379651,11.37780296,11.367515,11.6762378,11.7254847,11.66963957,11.74317605,11.37799994,11.6498168
57,11.90318593,11.70266456,11.20777711,12.5856701,11.31956723,11.32276596,11.66566848,11.60485283,11.63898543,11.61554311,11.37801921,11.6297465
58,11.90318593,11.83743907,11.24437126,12.52548057,11.37756001,11.36949957,11.54244702,11.77350412,11.52865869,11.69654603,11.5297569,11.64981126
59,11.90318593,11.98816514,11.51230883,12.69938822,11.55710119,11.55317533,11.79753036,11.90763109,11.86874496,11.92053719,11.72111573,11.80748018
60,11.90318593,12.28475891,11.81971947,12.8898188,11.90763061,11.9073992,12.11507214,12.22527759,11.98775417,12.21669991,12.2046302,12.15944108
61,11.90318593,12.25357656,11.81973135,13.06306327,11.95303768,11.93138965,12.21434987,12.22010538,12.21126132,12.16172965,11.92239695,12.13051746
62,11.90318593,12.03787146,11.49654692,12.63220176,11.61289933,11.62244419,11.71763339,11.9867256,11.91921257,12.04539349,11.85356188,11.95016014
63,11.90318593,11.88393142,11.44008255,12.76279496,11.53600853,11.54368685,11.69424495,11.85614974,11.67100981,11.86509253,11.60418173,11.77409654
64,11.90318593,11.93827298,11.4112869,12.75845787,11.52972606,11.52613355,11.70234115,11.90831167,11.64897624,11.94324384,11.63930514,11.87903234
65,11.90318593,11.59408038,10.90863344,12.41468786,11.00840218,10.99547036,11.20858677,11.51745957,11.27421165,11.52375181,11.13023798,11.39523869
66,11.90318593,11.91859664,11.41546468,12.64333916,11.53021269,11.53755157,11.63908523,11.8666303,11.75474819,11.86549362,11.63935309,11.79146291
67,11.90318593,12.0249101,11.43396962,12.66061198,11.53282753,11.53192218,11.75172893,11.93782033,11.94013276,11.97703585,11.40299695,11.91451408
68,11.90318593,11.81787151,11.40638609,12.62925818,11.5388399,11.54113306,11.70224465,11.79557618,11.75023912,11.772324,11.51453028,11.83150989
69,11.90318593,12.09335537,11.62320747,12.90870468,11.68915753,11.68259389,11.96114508,12.01578767,12.08772598,12.02530291,11.92621116,12.03460388
70,11.90318593,11.66174413,11.06550918,12.44098318,11.17726103,11.17935156,11.36748632,11.66389335,11.57477835,11.63867213,11.11365493,11.51643723
71,11.90318593,12.27386816,11.78031835,12.96226445,11.8093433,11.7981955,12.0387846,12.23556413,12.02141432,12.19790115,11.99089041,12.03343502
72,11.90318593,11.89413772,11.43770127,12.6514407,11.56918581,11.5450486,11.73412299,11.88215315,11.72856939,11.8656376,11.77177706,11.80899781
73,11.90318593,12.12102856,11.54077093,12.76700919,11.66549944,11.65063573,11.77338802,12.03597345,11.90398312,12.07036391,11.44713125,11.96955701
74,11.90318593,11.64942003,11.03523174,12.40236435,11.19780818,11.1876861,11.48709895,11.65409961,11.49163228,11.65816806,11.34150747,11.56405239
75,11.90318593,11.53487892,10.93680668,12.34704557,11.08739277,11.07836364,11.2341369,11.53797848,11.28021819,11.50399746,11.21523844,11.42558711
76,11.90318593,11.91340472,11.42803242,12.58721593,11.54210295,11.54309441,11.70802599,11.91415864,11.77499995,11.88398495,11.57054341,11.77018472
77,11.90318593,11.62106524,11.14427902,12.35792035,11.2606099,11.26099341,11.46386548,11.56144303,11.52132487,11.55845087,11.60680047,11.5458751
78,11.90318593,11.97120103,11.51333433,12.79185046,11.57834839,11.57990815,11.75813605,11.88293142,11.94681358,11.90651259,11.8093562,11.96145687
79,11.90318593,11.99062656,11.60144426,12.81580941,11.66860025,11.66231531,11.78569356,11.9302293,11.88886407,11.99177384,11.74806804,11.92149899
80,11.90318593,11.9940136,11.44799007,12.67205729,11.59198796,11.56876521,11.75103792,11.94190656,11.84801806,11.91789333,11.72696948,11.84828873
81,11.90318593,11.79546047,11.26848136,12.64809466,11.41121977,11.40912155,11.61976765,11.79192387,11.63388038,11.76461516,11.82587452,11.65343227
82,11.90318593,11.90998781,11.30259469,12.53282151,11.41949418,11.3833543,11.56733047,11.87726278,11.59864044,11.86407404,11.63123636,11.66756225
83,11.90318593,11.94222264,11.41470312,12.64625636,11.51646117,11.51111893,11.74704666,11.91957415,11.73942177,11.84547493,11.64838615,11.81736167
84,11.90318593,11.96246666,11.33168238,12.75453369,11.45431842,11.42713285,11.71453001,11.91645882,11.82689849,11.92891447,11.34830909,11.82376186
85,11.90318593,12.03787606,11.51936794,12.80428372,11.60569634,11.60474053,11.96854346,12.06596316,11.89277402,11.99315088,11.50769976,11.96001938
86,11.90318593,11.90186507,11.2390798,12.67958985,11.35397644,11.34875086,11.61042283,11.83289083,11.68295246,11.83484201,11.3648612,11.63304484
87,11.90318593,11.82962757,11.29342518,12.53340548,11.46028451,11.44894955,11.59757766,11.79422898,11.73053403,11.75591264,11.50649708,11.75678922
88,11.90318593,11.60714864,11.10957948,12.52717205,11.23305899,11.22346536,11.49236477,11.54505648,11.46030636,11.61222028,11.6199985,11.6271115
89,11.90318593,11.62318267,11.03330994,12.36074136,11.15617297,11.16261369,11.39736116,11.56336075,11.51036493,11.59574688,11.30528259,11.57657631
90,11.90318593,12.11916613,11.72017631,13.0865677,11.84322656,11.85465873,11.95529307,12.15104648,12.07678992,12.15672556,11.83344655,12.01496
91,11.90318593,12.1640596,11.68715469,12.79725235,11.75948447,11.75083875,11.83758204,12.14511006,11.94552565,12.1489137,11.90024542,12.06950408
92,11.90318593,12.26946476,11.84663793,13.08314505,11.92767591,11.90632626,12.0103053,12.21501255,12.15403029,12.24453133,11.73570777,12.24578728
93,11.90318593,11.90544646,11.48639837,12.76908378,11.52224119,11.5243135,11.75132791,11.91776178,11.79284339,11.82149692,11.7708012,11.84324363
94,11.90318593,12.02691433,11.62985815,12.75423478,11.72762157,11.71467959,11.97811934,11.99412998,11.97611829,12.03004603,11.5162286,11.9007599
95,11.90318593,12.0653622,11.4728728,12.74958153,11.58444439,11.56694335,11.72019275,12.03573012,11.85824429,12.01574573,11.63163101,11.9631275
96,11.90318593,11.97337541,11.41497477,12.70940124,11.45883769,11.46764869,11.58932626,11.91927549,11.84455476,11.91118758,11.69312413,11.70037756
97,11.90318593,12.08017784,11.55901621,12.78903583,11.67208148,11.66323546,11.86029088,12.03221012,11.9592973,12.04452387,11.71344551,11.9668357
98,11.90318593,11.84853855,11.33012293,12.48598142,11.44730352,11.44378552,11.67791701,11.81080739,11.75719243,11.82338848,11.57945638,11.66614701
99,11.90318593,11.97075354,11.50687088,12.7920721,11.62908742,11.61663023,11.62394857,11.93801426,11.74613546,11.95997414,11.46114011,11.83619921
100,11.90318593,11.94472393,11.443587,12.77713428,11.52639368,11.51482093,11.68661514,11.91924092,11.76878295,11.9423249,11.6825119,11.78219378
101,11.90318593,11.77270204,11.2305592,12.50274441,11.39045918,11.36355259,11.62871628,11.76837406,11.61057586,11.73125185,11.31716976,11.67322483
102,11.90318593,11.91783172,11.35807896,12.59852753,11.50758943,11.51046666,11.66742762,11.92961587,11.77250045,11.924833,11.8279299,11.85671939
103,11.90318593,11.60550516,10.98827766,12.42800105,11.15498848,11.14292765,11.27618588,11.5568105,11.39707512,11.57922694,11.05743345,11.48307968
104,11.90318593,12.09614151,11.58902925,12.6809417,11.65701285,11.66325106,11.95201738,12.10229072,11.91073459,12.04706257,12.12835873,11.9652339
105,11.90318593,11.89460283,11.27302496,12.51265441,11.41335704,11.40841757,11.56310928,11.86086153,11.79606867,11.8770241,11.55097009,11.8259916
106,11.90318593,11.76972321,11.27216513,12.61351718,11.38526489,11.37165695,11.69282756,11.78222783,11.6463017,11.73159825,11.40404158,11.69004455
107,11.90318593,11.50679173,10.86115391,12.3420422,10.99998698,10.99093299,11.29088013,11.45528928,11.28178002,11.47891492,11.10046405,11.34774271
108,11.90318593,11.65815469,11.17644593,12.57725423,11.24879676,11.23257214,11.50810615,11.60251011,11.5463479,11.6242003,11.24372769,11.51196416
109,11.90318593,12.06316211,11.71851346,12.89347888,11.79781776,11.79157038,11.89405505,12.07248627,11.94097661,12.08138848,12.22553502,12.00415975
110,11.90318593,11.80173378,11.20481741,12.61260767,11.25819919,11.25535809,11.51238208,11.72042414,11.63830855,11.72841762,11.5233946,11.62986599
111,11.90318593,11.75491987,11.26763062,12.64358821,11.33201201,11.3282685,11.62501404,11.67915491,11.57599565,11.677834,11.69248269,11.6250543
112,11.90318593,11.7388714,11.1566513,12.46937777,11.32288495,11.3271685,11.49305758,11.60295517,11.53321443,11.63823986,11.47551063,11.60963003
113,11.90318593,11.90259004,11.35472196,12.68014019,11.50135232,11.50105915,11.63861478,11.84841134,11.64996004,11.83609458,11.46533926,11.64889106
114,11.90318593,12.0117909,11.5528933,12.69209795,11.60662374,11.59367948,11.69621978,11.97274271,11.84617422,12.01513526,11.89779831,11.84266274
115,11.90318593,11.76075404,11.23036708,12.54163131,11.3453533,11.33918502,11.6461479,11.70335843,11.66694786,11.71727343,11.44263765,11.7059437
116,11.90318593,11.83622436,11.27843207,12.54379651,11.37780296,11.367515,11.73410445,11.75438293,11.62085866,11.77072998,11.38230903,11.55154236
117,11.90318593,11.70266456,11.20777711,12.5856701,11.31956723,11.32276596,11.58599432,11.62948748,11.56723403,11.62186541,11.35590613,11.70442514
118,11.90318593,11.83743907,11.24437126,12.52548057,11.37756001,11.36949957,11.53491963,11.77676638,11.57292495,11.75994253,11.3857068,11.63486568
119,11.90318593,11.98816514,11.51230883,12.69938822,11.55710119,11.55317533,11.75965783,11.93263407,11.90072827,11.94754534,11.58696331,11.81019265
120,11.90318593,12.28475891,11.81971947,12.8898188,11.90763061,11.9073992,12.01038024,12.18821861,12.06782123,12.21354362,12.28643934,12.15862449
121,11.90318593,12.25357656,11.81973135,13.06306327,11.95303768,11.93138965,12.17396113,12.25385908,12.18195893,12.25769663,11.90496097,12.16951414
122,11.90318593,12.03787146,11.49654692,12.63220176,11.61289933,11.62244419,11.81102431,11.99330264,11.86737767,12.03114529,11.91402994,11.98117808
123,11.90318593,11.88393142,11.44008255,12.76279496,11.53600853,11.54368685,11.6856558,11.83299106,11.74533132,11.89730168,11.70292127,11.75103576
124,11.90318593,11.93827298,11.4112869,12.75845787,11.52972606,11.52613355,11.79651356,11.93767625,11.73101616,11.96123046,11.69719407,11.72877819
125,11.90318593,11.59408038,10.90863344,12.41468786,11.00840218,10.99547036,11.20914473,11.54521638,11.27741806,11.51871727,11.07595468,11.40321364
126,11.90318593,11.91859664,11.41546468,12.64333916,11.53021269,11.53755157,11.71904196,11.85376428,11.71015724,11.8881435,11.5903845,11.85413848
127,11.90318593,12.0249101,11.43396962,12.66061198,11.53282753,11.53192218,11.74418425,11.95887045,11.81429897,11.97312409,11.46509892,11.90799918
128,11.90318593,11.81787151,11.40638609,12.62925818,11.5388399,11.54113306,11.77784039,11.77992759,11.76124833,11.81393274,11.60057395,11.7197877
129,11.90318593,12.09335537,11.62320747,12.90870468,11.68915753,11.68259389,12.03867703,11.9796585,12.04904159,12.07165526,11.77936213,11.99646099
130,11.90318593,11.66174413,11.06550918,12.44098318,11.17726103,11.17935156,11.27866054,11.64256161,11.46277355,11.60834185,11.15315041,11.65595161
131,11.90318593,12.27386816,11.78031835,12.96226445,11.8093433,11.7981955,12.10796563,12.27595647,11.84811667,12.1949682,11.8700027,11.94722208
132,11.90318593,11.89413772,11.43770127,12.6514407,11.56918581,11.5450486,11.90164078,11.87588064,11.74893958,11.86198754,11.71669208,11.8615144
133,11.90318593,12.12102856,11.54077093,12.76700919,11.66549944,11.65063573,11.82671816,12.07312871,12.00616669,12.06257397,11.53219721,11.95162419
