NEWID,TAX_UNIT,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,T65CT_CY,T65C__CY,T65CT_PY,T65C__PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND17,DEPU_D17,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
03566984,1,2016,2015,0,.03800,.03800,1,.33000,.32860,48,D,.00000,.00000,1,D,0,D,219467,D,0,D,3383,D,0,D,0,D,0,D,28536,D,0,D,4599,D,0,D,0,D,880,D,53362,0,53636,53271,0,0,21234,21234,222850,222850,0,0,0,0,0,0,0,0,0,0,221970,222850,0,0,53507,53143,53507,53143,0,0,0,0,0,0,0,0,0,0,0
03567004,1,2016,2015,1,.15300,.15300,2,.25980,.25980,44,D,.00000,.00000,0,D,0,D,34694,D,0,D,0,D,0,D,0,D,0,D,0,D,1500,D,100,D,0,D,1,D,0,D,-1617,0,-1585,-1628,0,0,5308,5308,34694,34694,0,0,1000,994,0,6,0,0,1594,1623,34694,34694,0,0,1009,994,1009,994,0,0,0,0,0,0,0,0,0,0,0
03567034,1,2016,2015,1,.15300,.15300,2,.25980,.25980,36,D,.04570,.04570,0,D,0,D,0,D,33547,D,0,D,0,D,0,D,0,D,0,D,1800,D,0,D,0,D,1,D,0,D,-1915,245,-1883,-1926,253,243,5133,5133,33547,33547,33547,33547,895,880,105,120,0,0,1777,1806,33547,33547,0,0,895,880,895,880,0,0,0,0,0,0,0,0,178,181,0
03567044,1,2016,2015,0,.15300,.15300,1,-.0765,-.0765,31,D,-.0268,-.0230,0,D,0,D,915,D,0,D,-583,D,915,D,20808,D,0,D,10500,D,0,D,155,D,0,D,0,D,480,D,-70,-174,-70,-70,-171,-175,140,140,1247,1247,1830,1830,0,0,0,0,0,0,70,70,1247,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,0
03567074,1,2016,2015,1,.02900,.02900,2,.22670,.22670,05,D,.09300,.09300,0,D,0,D,219467,D,0,D,-8229,D,0,D,0,D,0,D,0,D,18759,D,1500,D,0,D,1,D,34740,D,25375,8840,25415,25362,8928,8811,21059,21059,211238,211238,211238,211238,0,0,0,0,0,0,0,0,176498,176498,0,0,25415,25362,25415,25362,8088,8258,54999,54999,0,0,0,0,0,0,0
03567094,1,2016,2015,0,.15300,.15300,2,.22670,.22670,05,D,.09300,.09300,0,D,0,D,45000,D,107494,D,0,D,0,D,0,D,0,D,0,D,7500,D,105,D,0,D,0,D,26248,D,17774,5686,17806,17763,5768,5659,23332,23332,152494,152494,152494,152494,0,0,0,0,0,0,0,0,126246,126246,0,0,17806,17763,17806,17763,8088,8258,33853,33853,0,0,0,0,0,0,0
03567154,1,2016,2015,0,.00000,.00000,1,.00000,.00000,0,T,.00000,.00000,1,D,1,D,0,D,0,D,5000,D,0,D,20592,D,0,D,0,D,2000,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,5000,5000,0,0,0,0,0,0,0,0,0,0,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03567204,1,2016,2015,0,.03800,.03800,1,.33000,.33000,44,D,.00000,.00000,0,D,0,D,219467,D,0,D,0,D,0,D,0,D,0,D,25644,D,0,D,75,D,0,D,0,D,0,D,52561,0,52631,52538,0,0,21234,21234,219467,219467,0,0,0,0,0,0,0,0,0,0,219467,219467,0,0,52631,52538,52631,52538,0,0,0,0,0,0,0,0,0,0,0
03567224,1,2016,2015,0,.00000,.00000,1,.00000,.00000,39,D,.00000,.00000,1,D,1,D,0,D,0,D,0,D,78,D,21636,D,0,D,0,D,1100,D,654,D,0,D,0,D,60,D,0,0,0,0,0,0,0,0,78,78,0,0,0,0,0,0,0,0,0,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03567234,1,2016,2015,1,.15300,.15300,3,.00000,.00000,03,D,.00000,.00000,0,D,0,D,13500,D,0,D,0,D,0,D,7128,D,0,D,0,D,1300,D,78,D,0,D,0,D,4596,D,-3370,-50,-3359,-3373,-50,-50,2066,2066,13500,13500,13500,13500,0,0,0,0,0,0,3359,3373,13500,13500,0,0,0,0,0,0,10182,10198,6332,6337,0,0,0,0,0,0,0
03567234,2,2016,2015,0,.15300,.15300,1,.17650,.17650,03,D,.02590,.02590,0,D,0,D,12730,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,76,143,83,73,143,143,1948,1948,12730,12730,12730,12730,0,0,0,0,0,0,160,165,12730,12730,0,0,243,238,243,238,5091,5099,239,243,0,0,0,0,0,0,0
03567244,1,2016,2015,0,.15300,.15300,1,.15000,.15000,14,D,.03750,.03750,0,D,0,D,22763,D,0,D,0,D,0,D,0,D,0,D,7440,D,0,D,0,D,0,D,0,D,0,D,1401,772,1408,1398,773,772,3483,3483,22763,22763,22763,22763,0,0,0,0,0,0,0,0,22763,22763,0,0,1408,1398,1408,1398,0,0,0,0,0,0,0,0,0,0,0
03567264,1,2016,2015,0,.15300,.15300,2,.10000,.10000,36,D,.02970,.02970,0,D,0,D,0,D,36350,D,0,D,0,D,3408,D,0,D,0,D,1000,D,290,D,0,D,0,D,0,D,1738,635,1745,1735,639,634,5562,5562,38054,38054,36350,36350,0,0,0,0,0,0,0,0,38054,38054,0,0,1745,1735,1745,1735,0,0,0,0,0,0,0,0,0,0,0
03567284,1,2016,2015,0,.15300,.15300,1,.15000,.15000,34,D,.05750,.05750,0,D,0,D,27479,D,0,D,0,D,0,D,0,D,0,D,10800,D,0,D,0,D,0,D,0,D,0,D,2108,1116,2116,2106,1149,1106,4204,4204,27479,27479,27479,27479,0,0,0,0,0,0,0,0,27479,27479,0,0,2116,2106,2116,2106,7500,8250,0,0,0,0,0,0,0,0,0
03567284,2,2016,2015,0,.15300,.15300,1,.17650,.17650,34,D,.05750,.05750,0,D,0,D,11489,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,-143,197,-136,-146,229,186,1758,1758,11489,11489,11489,11489,0,0,0,0,0,0,255,260,11489,11489,0,0,119,114,119,114,7500,8250,0,0,0,0,0,0,0,0,0
03567284,3,2016,2015,1,.00000,.00000,3,-.3400,-.3400,34,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,13200,0,0,0,0,0,0,0,0,0
03567304,1,2016,2015,0,.00000,.00000,2,.18500,.18500,0,T,.00000,.00000,2,D,2,D,0,D,0,D,5000,D,26676,D,31440,D,0,D,0,D,2300,D,1463,D,0,D,0,D,3304,D,1739,0,1746,1736,0,0,0,0,40563,40563,0,0,0,0,0,0,0,0,0,0,40563,40563,0,0,1746,1736,1746,1736,0,0,0,0,0,0,0,0,0,0,0
03567334,1,2016,2015,1,.00000,.00000,3,.00000,.00000,18,D,.00000,.00000,0,D,0,D,0,D,0,D,12480,D,0,D,0,D,0,D,0,D,600,D,3,D,0,D,0,D,3564,D,0,0,0,0,0,0,0,0,12480,12480,12480,12480,0,0,0,0,0,0,0,0,12480,12480,0,0,0,0,0,0,2440,2460,4167,4167,0,0,0,0,0,0,0
03567344,1,2016,2015,1,.15300,.15300,3,.00000,.00000,10,D,.00000,.00000,0,D,0,D,13000,D,0,D,0,D,0,D,0,D,0,D,0,D,1600,D,0,D,0,D,0,D,0,D,-3370,0,-3359,-3373,0,0,1989,1989,13000,13000,0,0,0,0,0,0,0,0,3359,3373,13000,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
