,true_mean,oracle_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,lin_oracle,nn_imp_mean,nn_oracle,nn_pi_imp_mean,nn_pi_oracle,nn_resamp_imp_mean,nn_resamp_oracle,nn_wmse_imp_mean,nn_wmse_oracle,nn_deriv_imp_mean,nn_deriv_oracle
57,11.90318593,11.70266456,11.20777711,12.5856701,11.31956723,11.32276596,11.66566848,11.60485283,11.63898543,11.61554311,11.37801921,0,-108.9677111,-707.3505362,11.6297465,0
58,11.90318593,11.83743907,11.24437126,12.52548057,11.37756001,11.36949957,11.54244702,11.77350412,11.52865869,11.69654603,11.5297569,0,-190.2052192,-75.26513458,11.64981126,0
59,11.90318593,11.98816514,11.51230883,12.69938822,11.55710119,11.55317533,11.79753036,11.90763109,11.86874496,11.92053719,11.72111573,0,-20.53185367,-1261.914709,11.80748018,0
60,11.90318593,12.28475891,11.81971947,12.8898188,11.90763061,11.9073992,12.11507214,12.22527759,11.98775417,12.21669991,12.2046302,0,-372.1135132,-277.6243355,12.15944108,0
61,11.90318593,12.25357656,11.81973135,13.06306327,11.95303768,11.93138965,12.21434987,12.22010538,12.21126132,12.16172965,11.92239695,0,-132.5190004,16.90690562,12.13051746,0
62,11.90318593,12.03787146,11.49654692,12.63220176,11.61289933,11.62244419,11.71763339,11.9867256,11.91921257,12.04539349,11.85356188,0,-130.8359023,-483.3929092,11.95016014,0
63,11.90318593,11.88393142,11.44008255,12.76279496,11.53600853,11.54368685,11.69424495,11.85614974,11.67100981,11.86509253,11.60418173,0,-83.3991212,-160.9427625,11.77409654,0
64,11.90318593,11.93827298,11.4112869,12.75845787,11.52972606,11.52613355,11.70234115,11.90831167,11.64897624,11.94324384,11.63930514,0,-302.8406618,-220.8669177,11.87903234,0
65,11.90318593,11.59408038,10.90863344,12.41468786,11.00840218,10.99547036,11.20858677,11.51745957,11.27421165,11.52375181,11.13023798,0,-379.5828378,-86.39304556,11.39523869,0
66,11.90318593,11.91859664,11.41546468,12.64333916,11.53021269,11.53755157,11.63908523,11.8666303,11.75474819,11.86549362,11.63935309,0,-58.96338174,-312.9383477,11.79146291,0
67,11.90318593,12.0249101,11.43396962,12.66061198,11.53282753,11.53192218,11.75172893,11.93782033,11.94013276,11.97703585,11.40299695,0,-801.6517911,-755.3612297,11.91451408,0
68,11.90318593,11.81787151,11.40638609,12.62925818,11.5388399,11.54113306,11.70224465,11.79557618,11.75023912,11.772324,11.51453028,0,-195.0800331,37.98104311,11.83150989,0
69,11.90318593,12.09335537,11.62320747,12.90870468,11.68915753,11.68259389,11.96114508,12.01578767,12.08772598,12.02530291,11.92621116,0,-983.4978102,-12.38606289,12.03460388,0
70,11.90318593,11.66174413,11.06550918,12.44098318,11.17726103,11.17935156,11.36748632,11.66389335,11.57477835,11.63867213,11.11365493,0,-1096.359973,324.1834785,11.51643723,0
71,11.90318593,12.27386816,11.78031835,12.96226445,11.8093433,11.7981955,12.0387846,12.23556413,12.02141432,12.19790115,11.99089041,0,-125.0601371,12.96344745,12.03343502,0
72,11.90318593,11.89413772,11.43770127,12.6514407,11.56918581,11.5450486,11.73412299,11.88215315,11.72856939,11.8656376,11.77177706,0,-601.4064719,-831.1939221,11.80899781,0
73,11.90318593,12.12102856,11.54077093,12.76700919,11.66549944,11.65063573,11.77338802,12.03597345,11.90398312,12.07036391,11.44713125,0,-350.8730073,-1428.097848,11.96955701,0
74,11.90318593,11.64942003,11.03523174,12.40236435,11.19780818,11.1876861,11.48709895,11.65409961,11.49163228,11.65816806,11.34150747,0,-52.24394949,-310.8915695,11.56405239,0
75,11.90318593,11.53487892,10.93680668,12.34704557,11.08739277,11.07836364,11.2341369,11.53797848,11.28021819,11.50399746,11.21523844,0,-248.1944693,-30.03539504,11.42558711,0
76,11.90318593,11.91340472,11.42803242,12.58721593,11.54210295,11.54309441,11.70802599,11.91415864,11.77499995,11.88398495,11.57054341,0,-197.9396755,-27.41504403,11.77018472,0
77,11.90318593,11.62106524,11.14427902,12.35792035,11.2606099,11.26099341,11.46386548,11.56144303,11.52132487,11.55845087,11.60680047,0,-1323.781867,-649.9717211,11.5458751,0
