,true_mean,oracle_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,lin_oracle,nn_imp_mean,nn_oracle,nn_pi_imp_mean,nn_pi_oracle,nn_wmse_imp_mean,nn_wmse_oracle
39,442.7144389,446.872074,428.9238239,505.4795971,429.5489314,428.8708074,444.7018018,444.6253369,446.6656645,445.6706249,438.6193038,414.5705157
40,442.7144389,432.5998966,412.5444841,498.6335161,413.6125444,412.5509435,432.1701027,430.6962199,432.3222398,432.3201413,453.8654169,432.6286466
41,442.7144389,436.867552,419.7711622,498.7799903,419.8563842,419.7170609,436.0043722,435.2728907,435.8811411,436.28675,471.0259169,453.6506649
42,442.7144389,454.5480216,438.8552266,509.8842884,439.5756668,438.6064108,453.1860337,452.5836176,453.7683429,453.1995547,465.2801406,453.1819067
43,442.7144389,441.3886017,421.9612922,500.668574,421.3996351,421.847162,439.0586412,438.6572696,440.8717841,441.1532159,412.6495702,432.3582423
44,442.7144389,439.1343227,422.7440015,498.588017,423.8512169,422.8036902,440.7968457,440.4060293,438.4819312,438.6929643,414.860371,369.8127914
45,442.7144389,448.2019786,429.6701905,500.5522364,429.8303183,429.7946762,445.5609484,446.0815787,447.5532449,447.3341292,381.0945192,439.8473083
46,442.7144389,452.296801,435.3741216,507.3267708,436.369406,435.505102,451.8185527,450.3932883,451.4441581,452.3645704,456.9448403,449.1498059
,442.3090187,451.6505985,439.4559416,518.4042647,438.2402135,439.4688365,452.0464864,452.1360228,451.2079668,451.4804649,461.2957924,482.225835
,442.3090187,420.621633,398.0809584,493.3652178,397.6303738,397.952852,416.1314934,417.1600725,420.2960162,420.4133022,391.6731199,363.5845945
,442.3090187,442.0257147,422.3897042,504.6684754,422.4184431,422.4019474,440.7140311,440.8626513,442.8726948,441.7674273,418.3630967,405.680942
,442.3090187,449.5939524,437.70803,507.5211421,437.9413672,437.7992757,449.3524755,448.7203668,447.9429224,448.7034482,456.2780081,477.6597725
,442.3090187,436.6576034,419.2100353,502.1491345,420.4870753,419.2640492,437.1955789,435.5109786,438.0097692,436.7863634,531.3522243,523.8072924
,442.3090187,433.422426,413.1068228,497.0160327,413.3441609,413.0967197,430.7240323,429.8857412,432.0163891,432.6884124,449.6331112,430.6148651
,442.3090187,445.8041103,427.0017842,503.6000486,428.0061917,426.9357647,444.8544124,443.9002475,444.8789577,445.722347,385.0928539,264.2460246
,442.3090187,440.3678379,420.36076,499.5194001,420.8326692,420.0294904,440.1832393,439.9082963,440.1367434,440.2671922,519.1852699,453.1958282
,442.3090187,450.6785868,435.3622407,508.7149609,436.5602591,435.392061,450.8456074,450.6159747,449.649309,450.3356222,454.0202238,472.4682321
