,true_mean,oracle_mean,naive_mean,pi_naive_mean,median_imp_mean,lin_imp_mean,nn_imp_mean,nn_pi_imp_mean,nn_resamp_imp_mean,nn_wmse_imp_mean
84,296.0141914,296.2178677,301.215712,293.5094643,299.8335189,296.2551587,296.0139071,295.8783603,296.2897307,297.0817261
85,296.0141914,295.9753183,300.6958896,292.966407,299.197037,295.979551,296.2558205,296.0683348,294.9399395,296.0890233
86,296.0141914,295.9692514,301.0906691,293.4736927,299.679527,296.0510478,295.6140327,295.7908061,293.7848174,295.7658337
87,296.0141914,295.7733692,300.7270847,292.9435042,299.3939805,295.7665801,296.0466166,295.5831426,295.628851,295.5222456
88,296.0141914,295.768531,300.8886022,293.2332201,299.3667685,295.7151078,295.1495189,295.9462703,294.8018675,295.2512621
89,296.0141914,296.2392367,301.8450488,294.1632458,300.5944813,296.2238065,296.2077076,296.2180747,294.315928,295.8603044
90,296.0141914,294.9394451,299.6847214,292.2193739,298.2354106,294.9939178,295.0065184,294.5375036,292.9776155,295.0465309
91,296.0141914,295.4701105,301.0401584,293.360693,299.5108466,295.5352822,295.7298426,295.8748182,296.7734392,295.2634027
92,296.0141914,295.6241185,300.2851739,292.5687406,298.807306,295.5232989,295.3824856,294.7585603,293.910321,295.8197675
93,296.0141914,296.7169693,301.3039351,293.4032306,299.6908817,296.7596065,296.605508,296.7414337,297.8928341,296.7928276
94,296.0141914,296.3401429,301.079873,293.5761005,299.4755002,296.3567606,296.6917602,296.3354409,294.2595452,296.1447923
95,296.0141914,294.6898412,299.7639217,292.0014778,298.3006345,294.7852044,294.7707599,294.8299792,292.1430054,295.1088922
96,296.0141914,296.338823,301.7839169,293.9797262,300.3310776,296.5163255,296.4933793,296.4544455,294.2783939,296.1036301
97,296.0141914,295.435232,300.3507549,292.539776,299.0489203,295.230355,295.2290315,295.2237681,293.6519735,295.4253849
98,296.0141914,296.9478518,301.9781716,293.8493119,300.3995462,296.8475532,296.5003936,296.5745562,296.4784699,296.4220371
99,296.0141914,296.4700681,300.9530055,293.3787268,299.5885709,296.4361919,296.0698184,296.6143392,293.1883652,296.9310524
100,296.0141914,296.3185957,301.2292506,293.7194778,299.8289739,296.2572377,296.8259288,296.5603627,295.5899629,295.8354842
101,315.5805902,315.1336745,319.9206393,312.8279195,318.3679991,315.1961658,314.5321727,314.7632128,312.0398512,315.1735034
102,315.5805902,314.8632953,319.529138,312.271913,318.1181515,314.7831037,314.7918367,314.6223856,314.8919198,314.9127084
103,315.5805902,316.6103008,321.9219812,314.5185376,320.5047616,316.6479568,316.9049863,315.7791902,315.4479416,316.9939008
104,315.5805902,315.665161,320.8164132,313.2809474,319.4396529,315.6087021,315.460985,315.2570872,312.5729823,315.8153735
105,315.5805902,314.6617659,319.5188854,312.436979,318.0289267,314.6248206,314.3912566,314.0302808,314.9276751,314.0409729
106,315.5805902,315.7794476,320.2284053,313.0388515,318.9273067,315.7785125,315.7575182,315.7804555,315.0656132,315.6130637
107,315.5805902,315.7837804,320.6764064,313.2345547,319.051047,315.79824,315.5960224,315.9738785,315.5454485,316.1683731
108,315.5805902,315.6001538,320.3784686,313.1146112,318.9403913,315.4999606,316.1236569,315.5233757,314.1800148,314.995573
109,315.5805902,315.7594748,320.2288504,312.7112448,318.7165905,315.5989002,315.8186362,315.7145747,313.0882034,315.5807484
110,315.5805902,315.7262306,320.2213253,312.8170209,318.8500851,315.7242859,315.3439766,315.9744557,315.3262162,315.3222781
111,315.5805902,315.3994378,319.337071,312.3293407,317.946888,315.2497317,315.5589786,315.6759919,312.9576137,314.8142537
112,315.5805902,315.2562275,319.5784376,312.3339273,318.2599442,315.2084642,315.5964232,315.794532,314.2923365,315.3963409
113,315.5805902,316.1353192,320.2255809,313.0956463,318.9675703,316.0557883,315.7486645,315.9554427,316.376117,315.9901977
114,315.5805902,315.5085815,319.7627723,312.6707204,318.2511821,315.497164,315.1546856,315.0071542,312.9529024,315.5705755
115,315.5805902,316.3398458,321.0782983,313.6214255,319.5980384,316.4759718,316.2854181,317.1476982,315.3379021,316.522789
116,315.5805902,315.5789475,319.9418948,312.689498,318.5031599,315.6510034,314.9513667,315.6220124,315.1616927,316.1522636
117,315.5805902,314.787277,319.6531444,312.2252359,318.3041476,314.7325748,314.4125644,314.3619137,311.9764538,315.4480294
118,315.5805902,315.0998365,319.8347797,312.4166197,318.4023119,315.1085527,314.1615587,315.3878205,314.0296791,315.5558841
119,315.5805902,316.4216842,321.4243064,313.8917893,319.9576303,316.4920892,315.6942064,317.1617876,316.4139096,316.2533152
120,315.5805902,316.6843221,321.5815933,314.4041082,320.2621359,316.5591694,317.1466917,316.3328973,315.5096735,316.9385004
121,315.5805902,316.3535467,320.8659317,313.5478099,319.4330021,316.1829525,316.3198265,316.7668235,317.5848451,315.7526984
122,315.5805902,315.2762742,320.4411028,313.2117847,318.9308832,315.2157391,314.6197377,314.2722599,313.9070354,315.2268105
123,315.5805902,314.7532519,319.1288656,312.2801677,317.7963688,314.7375598,314.6604043,314.2783346,316.2840242,315.0914812
124,315.5805902,316.6521966,320.5218966,313.3219378,319.1797317,316.6238256,315.8035088,315.3985723,316.0866993,316.8393319
125,315.5805902,316.4718115,321.2774486,314.0533318,319.8655463,316.427548,316.4012813,316.897808,315.6893041,317.1567884
126,315.5805902,315.4501769,320.4160516,313.1502805,319.1969222,315.5014862,315.3516901,315.5557254,314.7229594,315.3643295
