,true_mean,oracle_mean,naive_mean,pi_naive_mean,lin_imp_mean,nn_imp_mean,nn_pi_imp_mean,nn_resamp_imp_mean,nn_wmse_imp_mean
225,0,21.52981146,26.14534362,26.05519059,26.08724308,26.09257535,22.00781033,0,0
226,0,21.49425969,26.14737777,26.05563871,26.07025409,21.53460331,26.02007261,0,0
227,0,21.59883623,26.15464683,26.06085364,26.16110233,26.09440834,26.08596518,0,0
228,0,21.47462991,26.12422111,26.04157603,26.00363615,25.96914381,25.99536672,0,0
229,0,21.6107188,26.16460418,26.08691419,26.23077722,25.11555072,26.28406542,0,0
230,0,21.50556535,26.18612885,26.09629416,26.09681193,26.08870098,26.12651937,0,0
231,0,21.53126798,26.14311092,26.05220994,26.1026722,23.35292029,23.65103039,0,0
232,0,21.60557132,26.15701311,26.06487171,26.16726405,25.7869683,26.21211826,0,0
233,0,21.47428855,26.16249045,26.06914063,26.09297083,26.10237281,26.08006332,0,0
234,0,21.62178978,26.16697442,26.08274149,26.25243099,26.2464411,26.19326795,0,0
235,0,21.51590704,26.19716047,26.10373273,26.11359822,26.17583354,25.44013393,0,0
236,0,21.47698155,26.16576,26.07748186,26.04087123,26.00335114,21.51708232,0,0
237,0,21.41903551,26.16580169,26.0809449,26.00675367,23.34183647,25.91215108,0,0
238,0,21.49281026,26.17846828,26.09556347,26.10280295,26.12936236,26.03885117,0,0
239,0,21.48543373,26.17436679,26.07901293,26.11665449,24.82372026,23.74558725,0,0
240,0,21.57030631,26.1873121,26.1013374,26.12559458,24.99242763,22.08408946,0,0
241,0,21.66681963,26.20416822,26.11553683,26.25116415,26.26866198,25.39272816,0,0
242,0,21.6477669,26.19616305,26.11474026,26.23294851,26.22297567,24.72210705,0,0
243,0,21.63310073,26.15507855,26.06414761,26.26607143,26.26674424,23.05920231,0,0
244,0,21.49387597,26.17491907,26.09957851,26.05696069,21.53459769,26.01846152,0,0
245,0,21.56995579,26.17934219,26.08320092,26.1483432,23.82503507,26.21522739,0,0
246,0,21.50752203,26.15272988,26.07446747,26.14466955,23.65772731,26.18453563,0,0
247,0,21.61792464,26.18407688,26.08616792,26.15998555,24.00338793,24.91179286,0,0
248,0,21.54726827,26.17169874,26.08017773,26.09346765,21.37143458,26.17407723,0,0
249,0,21.44530073,26.19423418,26.1199406,26.02756853,24.75404945,21.66239691,0,0
250,0,21.49550829,26.17606651,26.08219938,26.08820441,26.0955666,21.53610754,0,0
251,0,21.47299294,26.1735236,26.08665307,26.06651423,26.01536932,26.11503702,0,0
252,0,21.54828214,26.20088633,26.11278489,26.10480449,25.40234961,24.97079708,0,0
253,0,21.54937507,26.1805107,26.09519363,26.2342721,25.50750768,21.59101138,0,0
254,0,21.52748059,26.17801557,26.0930007,26.12773087,24.0469956,21.56759069,0,0
255,0,21.48177205,26.11942842,26.02121505,26.07564945,23.98597574,26.14114595,0,0
256,0,21.5060755,26.18780343,26.10332635,26.13618252,26.09579357,26.15515472,0,0
257,0,21.54951849,26.14929493,26.07799615,26.18181769,26.20158522,26.16313817,0,0
258,0,21.54288664,26.23658729,26.14214847,26.1207252,26.05181346,26.09840231,0,0
259,0,21.64861722,26.2389451,26.14992946,26.29170762,26.3247285,25.26932819,0,0
260,0,21.54185228,26.18901385,26.10839471,26.14154949,21.58271195,26.09746146,0,0
261,0,21.63772878,26.19511143,26.08995616,26.26459563,26.23359825,26.30360647,0,0
262,0,21.6161814,26.19019739,26.11772432,26.16806696,26.09025098,21.65639846,0,0
263,0,21.54769469,26.13750275,26.03106862,26.14959641,24.71848748,26.20335464,0,0
264,0,21.4277443,26.17127447,26.07880865,26.01161536,25.97898341,25.97036696,0,0
265,0,21.48938201,26.16670898,26.08190626,26.10829496,23.3893166,24.94121448,0,0
266,0,21.49580383,26.17265748,26.08091281,26.07490723,26.08218385,21.53651106,0,0
267,0,21.52622838,26.13924095,26.04036013,26.18126734,22.11492867,25.6806797,0,0
268,0,21.50711439,26.20226309,26.10948546,26.05427411,26.05884733,26.0357544,0,0
269,0,21.49715776,26.12483479,26.04132425,26.04309694,25.95599546,25.99479886,0,0
270,0,21.48069452,26.18532078,26.10416259,26.04438214,25.46105282,21.50442829,0,0
271,0,21.5164628,26.2014972,26.12383249,26.11595505,26.03055833,26.12869639,0,0
272,0,21.63304182,26.16555066,26.07741615,26.261769,21.70122037,26.17424551,0,0
273,0,21.57635029,26.17136331,26.07680198,26.16127837,21.61710598,26.15732925,0,0
274,0,21.6085755,26.15391313,26.06634388,26.17707283,26.21656001,26.27387823,0,0
275,0,21.56384892,26.19182098,26.0997315,26.18258533,26.16402656,26.21561588,0,0
276,0,21.55216526,26.15061156,26.06337182,26.12356365,21.5926413,23.27478297,0,0
277,0,21.58748224,26.14094204,26.05051023,26.16136861,21.62824058,26.19780743,0,0
278,0,21.52538553,26.18794722,26.08890189,26.1706904,21.5665437,26.13885221,0,0
279,0,21.54329124,26.18421688,26.10143326,26.1511365,26.11967481,26.08464387,0,0
280,0,21.60120094,26.20959035,26.12131232,26.10226705,21.64097753,22.77714012,0,0
281,0,21.59946841,26.21589972,26.12425463,26.19433738,21.64007002,26.19885454,0,0
282,0,21.60705028,26.18053478,26.09908987,26.16802676,26.08631917,26.2143028,0,0
283,0,21.57126811,26.18003755,26.09448318,26.1712245,25.80775039,25.70155245,0,0
284,0,21.66512696,26.18708067,26.09111713,26.23339137,26.15550885,21.73847362,0,0
285,0,21.52970136,26.18682168,26.1023179,26.10127542,24.54296856,26.11309353,0,0
286,0,21.46819383,26.15697842,26.06728999,26.03260987,23.12875309,26.08623408,0,0
287,0,21.55917702,26.18703067,26.10267413,26.20081462,26.15492105,26.23849741,0,0
288,0,21.41907899,26.15140414,26.06828741,25.99873234,25.9850974,25.9845175,0,0
289,0,21.56127865,26.13452463,26.04736272,26.14781147,26.080235,25.11918949,0,0
290,0,21.56992433,26.19510942,26.10609728,26.20347645,26.17380449,25.19001427,0,0
291,0,21.47479968,26.13012626,26.03456855,26.11332079,26.1698177,22.74065544,0,0
292,0,21.58720832,26.19469171,26.1002777,26.14815991,26.1088249,26.13468637,0,0
293,0,21.4925266,26.13148865,26.04080422,26.08188271,26.07968432,21.53332558,0,0
294,0,21.60215365,26.1652522,26.07118973,26.22996612,21.82847637,26.13050727,0,0
295,0,21.58559779,26.14675634,26.0620534,26.18187872,23.5294123,25.33882848,0,0
296,0,21.60114215,26.1861884,26.10353711,26.18131733,25.69038899,26.23314247,0,0
297,0,21.59985128,26.17182169,26.08733839,26.16411944,26.24033567,21.64016969,0,0
298,0,21.673033,26.22874091,26.15738233,26.21653501,21.71358271,26.21791676,0,0
299,0,21.67346471,26.22962229,26.1414673,26.27122511,26.22216863,21.7311874,0,0
300,0,21.60170816,26.20446983,26.10624483,26.20635178,26.17326518,26.25300325,0,0
301,0,21.5534056,26.17171851,26.08358534,26.18820326,25.8052093,26.1767744,0,0
302,0,21.51319579,26.15862449,26.05895432,26.07807773,26.06608362,26.12348008,0,0
303,0,21.40702639,26.1520125,26.06561862,25.97153995,25.99515853,25.60024982,0,0
304,0,21.6020949,26.21650686,26.14181403,26.17723139,26.09045888,22.18080448,0,0
305,0,21.49331052,26.18863108,26.09516095,26.0789084,26.07654623,24.12328545,0,0
306,0,21.50978211,26.19836936,26.10430228,26.10233141,26.08450975,23.64190348,0,0
307,0,21.54242697,26.10396004,26.01391088,26.15390603,24.45483866,26.08790807,0,0
308,0,21.54774493,26.16537255,26.08820055,26.10006573,26.16553371,26.0926319,0,0
309,0,21.54833057,26.11168678,26.03367508,26.08125674,25.91547358,22.40860078,0,0
310,0,21.62387868,26.24425693,26.15459192,26.19005917,23.22980821,21.96155399,0,0
311,0,21.63413113,26.22653734,26.13965296,26.19114445,20.42902351,24.41663925,0,0
312,0,21.5848991,26.1179438,26.0202577,26.19531284,26.21385099,26.2216474,0,0
313,0,21.5491434,26.14932396,26.05998926,26.1281429,26.10352195,26.15902715,0,0
314,0,21.53126776,26.19036876,26.09881511,26.13930122,21.75746676,21.55582051,0,0
315,0,21.49595247,26.17864787,26.09826413,26.12664204,21.84831665,26.06310379,0,0
316,0,21.59083639,26.2336828,26.15445753,26.18637346,21.63114739,22.43400141,0,0
317,0,21.48727721,26.16658735,26.05971829,26.1024712,24.48423003,26.08288891,0,0
318,0,21.74597586,26.19651405,26.10546148,26.37678152,26.32025528,24.31898686,0,0
319,0,21.57927054,26.1496336,26.06092966,26.17786199,22.85646824,26.11198668,0,0
320,0,21.55204676,26.16032496,26.07427535,26.13395309,26.10604823,24.04587485,0,0
321,0,21.58283002,26.19492634,26.09608168,26.18320912,26.16911908,26.22818187,0,0
322,0,21.54751298,26.17858258,26.09815772,26.13884061,26.07878031,26.10102022,0,0
323,0,21.57534327,26.14036216,26.04982167,26.20346799,21.61625595,21.61610618,0,0
324,0,21.50228418,26.16104903,26.0703949,26.07492393,26.0707181,24.0345864,0,0
325,0,21.56254015,26.15492681,26.07687022,26.11654119,26.07952864,21.85626747,0,0
326,0,21.54605057,26.16208813,26.07671484,26.18078139,26.07448516,22.14607065,0,0
327,0,21.4997079,26.17322421,26.09363158,26.08503368,26.14310142,25.24084745,0,0
328,0,21.55943841,26.18838706,26.11657532,26.18979739,25.50660178,23.68939792,0,0
329,0,21.58979924,26.18453528,26.10756599,26.15175129,26.01410607,26.14682957,0,0
330,0,21.50559273,26.16898762,26.09554371,26.10312277,24.32326072,25.99793323,0,0
331,0,21.52671769,26.17272035,26.07859026,26.15525546,26.15934983,22.76672498,0,0
332,0,21.62771313,26.14833719,26.07233622,26.21495533,26.14564503,23.74402417,0,0
333,0,21.55332359,26.19797044,26.11610319,26.17398445,26.13921266,21.87743626,0,0
334,0,21.59253773,26.18167624,26.08608091,26.15271543,23.00484771,21.53665364,0,0
335,0,21.6214204,26.23286984,26.15158654,26.24235649,23.71314134,26.22281414,0,0
336,0,21.58920218,26.21402061,26.12402144,26.12023042,26.07309059,25.44076313,0,0
337,0,21.58152938,26.15251257,26.06735438,26.20771876,26.21128796,23.88527563,0,0
338,0,21.53352897,26.16256969,26.07179554,26.14485598,26.12846657,22.96479053,0,0
339,0,21.52582346,26.21185833,26.11705492,26.10960556,21.58017138,26.17759596,0,0
340,0,21.52867043,26.17918004,26.09521899,26.11869162,26.07323891,25.97394352,0,0
341,0,21.47861649,26.18234463,26.08765252,26.05235772,20.94225555,24.52720713,0,0
342,0,21.43864439,26.10931829,26.02937853,26.03390452,26.00293565,24.91669107,0,0
343,0,21.49143396,26.17399062,26.0912565,26.11063763,26.15519974,26.14327952,0,0
344,0,21.56528183,26.17455548,26.08878823,26.15912148,26.19855629,23.99061015,0,0
345,0,21.48378159,26.18628396,26.10062067,26.05355387,26.05075834,26.00366954,0,0
346,0,21.54009496,26.19073165,26.11121488,26.07975698,26.03168485,21.4718048,0,0
347,0,21.50483707,26.16429118,26.07182812,26.15160313,26.13341105,21.54621243,0,0
348,0,21.56559235,26.19264595,26.10036202,26.26852386,23.60859777,26.24913969,0,0
349,0,21.56014866,26.21133798,26.11461987,26.15023531,24.32690608,26.15388977,0,0
350,0,21.56612157,26.22905092,26.13102457,26.18106054,22.69091244,26.22797482,0,0
351,0,21.57017626,26.1714771,26.09039841,26.12290952,26.08731726,25.83669676,0,0
