"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20152","02948574",16,0,"1",.,"A"
"20152","02948624",30,0,"1",.,"A"
"20152","02948644",84,0,"1",.,"A"
"20152","02948684",66,0,"1",.,"A"
"20152","02948694",19,0,"1",.,"A"
"20152","02948704",43,0,"1",.,"A"
"20152","02948724",22,0,"1",45,"D"
"20152","02948754",68,0,"1",.,"A"
"20152","02948764",10,0,"1",.,"A"
"20152","02948774",43,0,"1",.,"A"
"20152","02948784",15,0,"1",.,"A"
"20152","02948834",19,0,"1",.,"A"
"20152","02948915",10,0,"1",.,"A"
"20152","02948944",21,0,"1",15,"D"
"20152","02949014",24,0,"1",.,"A"
"20152","02949064",18,0,"1",.,"A"
"20152","02949124",22,0,"1",.,"A"
"20152","02949154",24,0,"1",.,"A"
"20152","02949194",62,0,"1",15,"D"
"20152","02949224",46,0,"1",.,"A"
"20152","02949264",18,0,"1",.,"A"
"20152","02949414",36,0,"1",.,"A"
"20152","02949434",22,0,"1",.,"A"
"20152","02949484",73,0,"1",.,"A"
"20152","02949564",17,0,"1",.,"A"
"20152","02949634",20,0,"1",30,"D"
"20152","02949744",34,0,"1",.,"A"
"20152","02949764",37,0,"1",.,"A"
"20152","02949794",40,0,"1",.,"A"
"20152","02949824",25,0,"1",.,"A"
"20152","02949844",26,0,"1",.,"A"
"20152","02949854",63,0,"1",.,"A"
"20152","02949874",18,0,"1",.,"A"
"20152","02949924",58,0,"1",.,"A"
"20152","02949954",17,0,"1",.,"A"
"20152","02950024",38,0,"1",.,"A"
"20152","02950034",51,0,"1",.,"A"
"20152","02950064",22,0,"1",.,"A"
"20152","02950084",24,0,"1",.,"A"
"20152","02950134",40,0,"1",.,"A"
"20152","02950144",24,0,"1",.,"A"
"20152","02950154",46,0,"1",.,"A"
"20152","02950164",31,0,"1",.,"A"
"20152","02950204",13,0,"1",.,"A"
"20152","02950344",48,0,"1",.,"A"
"20152","02950374",16,0,"1",.,"A"
"20152","02950384",42,0,"1",.,"A"
"20152","02950514",9,0,"1",.,"A"
"20152","02950534",42,0,"1",.,"A"
"20152","02950604",87,0,"1",.,"A"
"20152","02950654",17,0,"1",.,"A"
"20152","02950664",29,0,"1",.,"A"
"20152","02950684",29,0,"1",.,"A"
"20152","02950694",49,0,"1",.,"A"
"20152","02950814",107,0,"1",.,"A"
"20152","02950854",58,0,"1",.,"A"
"20152","02950874",36,0,"1",.,"A"
"20152","02950914",63,0,"1",.,"A"
"20152","02950944",21,0,"1",.,"A"
"20152","02950984",30,0,"1",.,"A"
"20152","02951004",27,0,"1",.,"A"
"20152","02951014",19,0,"1",.,"A"
"20152","02951044",31,0,"1",.,"A"
"20152","02951054",42,0,"1",.,"A"
"20152","02951074",30,0,"1",.,"A"
"20152","02951114",48,0,"1",.,"A"
"20152","02951134",29,0,"1",.,"A"
"20152","02951184",14,0,"1",.,"A"
"20152","02951204",62,0,"1",.,"A"
"20152","02951214",15,0,"1",.,"A"
"20152","02951264",22,0,"1",.,"A"
"20152","02951314",29,0,"1",.,"A"
"20152","02951354",25,0,"1",.,"A"
"20152","02951384",23,0,"1",.,"A"
"20152","02951434",30,0,"1",.,"A"
"20152","02951474",40,0,"1",.,"A"
"20152","02951504",38,0,"1",.,"A"
"20152","02951514",23,0,"1",.,"A"
"20152","02951614",14,0,"1",.,"A"
"20152","02951624",12,0,"1",.,"A"
"20152","02951674",32,0,"1",.,"A"
"20152","02951744",21,0,"1",.,"A"
"20152","02951784",18,0,"1",.,"A"
"20152","02951844",28,0,"1",.,"A"
"20152","02951854",44,0,"1",.,"A"
"20152","02951924",23,0,"1",.,"A"
"20152","02951934",35,0,"1",.,"A"
"20152","02951974",23,0,"1",.,"A"
"20152","02951994",41,0,"1",.,"A"
"20152","02952004",19,0,"1",.,"A"
"20152","02952174",45,0,"1",.,"A"
"20152","02952214",20,0,"1",.,"A"
"20152","02952224",71,0,"1",.,"A"
"20152","02952234",29,0,"1",.,"A"
"20152","02952304",42,0,"1",.,"A"
"20152","02952334",23,0,"1",.,"A"
"20152","02952344",21,0,"1",.,"A"
"20152","02952384",26,0,"1",.,"A"
"20152","02952444",48,0,"1",.,"A"
"20152","02952494",38,0,"1",.,"A"
"20152","02952534",42,0,"1",.,"A"
"20152","02952614",22,0,"1",.,"A"
"20152","02952624",17,0,"1",.,"A"
"20152","02952704",34,0,"1",.,"A"
"20152","02952724",25,0,"1",.,"A"
"20152","02952754",24,0,"1",.,"A"
"20152","02952774",33,0,"1",.,"A"
"20152","02952794",52,0,"1",.,"A"
"20152","02952825",39,0,"1",.,"A"
"20152","02952984",44,0,"1",.,"A"
"20152","02952994",25,0,"1",.,"A"
"20152","02953104",26,0,"1",.,"A"
"20152","02953114",13,0,"1",.,"A"
"20152","02953194",41,0,"1",.,"A"
"20152","02953224",31,0,"1",10,"D"
"20152","02953274",30,0,"1",.,"A"
"20152","02953284",41,0,"1",.,"A"
"20152","02953334",42,0,"1",.,"A"
"20152","02953434",48,0,"1",22,"D"
"20152","02953444",15,0,"1",.,"A"
"20152","02953484",52,0,"1",.,"A"
"20152","02953514",22,0,"1",.,"A"
"20152","02953554",36,0,"1",.,"A"
"20152","02953605",20,0,"1",.,"A"
"20152","02953614",18,0,"1",.,"A"
"20152","02953634",30,0,"1",.,"A"
"20152","02953644",21,0,"1",.,"A"
"20152","02953654",37,0,"1",.,"A"
"20152","02953875",13,0,"1",.,"A"
"20152","02953934",20,0,"1",.,"A"
"20152","02953964",39,0,"1",.,"A"
"20152","02953984",17,0,"1",.,"A"
"20152","02954044",11,0,"1",.,"A"
"20152","02954084",28,0,"1",.,"A"
"20152","02954094",47,0,"1",.,"A"
"20152","02954114",60,0,"1",.,"A"
"20152","02954164",43,0,"1",.,"A"
"20152","02954184",31,0,"1",.,"A"
"20152","02954244",36,0,"1",.,"A"
"20152","02954254",9,0,"1",.,"A"
"20152","02954294",19,0,"1",.,"A"
"20152","02954364",14,0,"1",.,"A"
"20152","02954384",30,0,"1",.,"A"
"20152","02954404",15,0,"1",.,"A"
"20152","02954444",24,0,"1",.,"A"
"20152","02954464",10,0,"1",.,"A"
"20152","02954494",24,0,"1",.,"A"
"20152","02954524",20,0,"1",.,"A"
"20152","02954534",33,0,"1",.,"A"
"20152","02954594",23,0,"1",.,"A"
"20152","02954614",25,0,"1",.,"A"
"20152","02954625",20,0,"1",.,"A"
"20152","02954674",48,0,"1",.,"A"
"20152","02954704",49,0,"1",.,"A"
"20152","02954794",40,0,"1",.,"A"
