"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20152","03058334",17,0,"1","01","D","100","D",0.0784,"D",90000,"D",30,"D",665,"D",,"A","4","D",,"A",,"A",15,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","10","D","2008","D","2","D",,"A",83886,"D",83784,"D",83681,"D","01","D",,"C",,"C",,"C",.,"C",.,"C",.,"C","1","D","2","D"
"20152","03058383",11,0,"5","01","D","100","D",0.05,"D",46757,"D",30,"D",344,"D","3","D","4","D",,"A",,"A",93,"D",244,"D",245,"D",246,"D",7,"D",6,"D",5,"D",,"A","09","D","1985","D","1","D",,"A",1729,"D",1486,"D",1241,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03058773",17,0,"5","01","D","100","D",0.075,"D",73000,"D",15,"D",968,"D","3","D","4","D",,"A",,"A",291,"D",522,"D",525,"D",528,"D",155,"D",152,"D",149,"D",,"A","08","D","2003","D","1","D",,"A",24869,"D",24347,"D",23822,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03058862",16,0,"5","01","D","100","D",0.055,"D",51000,"D",30,"D",302,"D",,"A","4","D",,"A",,"A",12,"D",129,"D",129,"D",130,"D",271,"D",271,"D",270,"D",,"A","10","D","2005","D","2","D",,"A",42853,"D",42760,"D",42667,"D","01","D","1","D",,"A",,"A",422,"D",422,"D",422,"D","1","D","2","D"
"20152","03058954",12,0,"1","01","D","100","D",0.0784,"D",69329,"D",30,"D",675,"D","3","D","4","D",,"A",,"A",174,"D",115,"D",116,"D",117,"D",386,"D",385,"D",384,"D",,"A","12","D","2003","D","1","D",,"A",59083,"D",58968,"D",58852,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03059012",13,0,"5","01","D","100","D",0.05,"D",105000,"D",30,"D",796,"D","3","D","4","D",,"A",,"A",232,"D",336,"D",337,"D",339,"D",228,"D",227,"D",225,"D",,"A","07","D","1995","D","1","D",,"A",54699,"D",54363,"D",54025,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03059183",12,0,"5","01","D","100","D",0.0784,"D",70000,"D",30,"D",585,"D",,"A","4","D",,"A",,"A",79,"D",77,"D",78,"D",78,"D",429,"D",428,"D",428,"D",,"A","03","D","2009","D","1","D",,"A",65621,"D",65544,"D",65466,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03059232",14,0,"5","01","D","100","D",0.0425,"F",265000,"F",30,"F",2000,"F","3","F","4","F","5","F",,"A",696,"F",458,"F",460,"F",462,"F",846,"F",844,"F",842,"F",,"A","10","F","2009","F","1","F",,"A",238800,"F",238341,"F",237881,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03059342",21,0,"1","01","D","100","D",0.0784,"D",70000,"D",15,"D",919,"D","3","D","4","D",,"A",,"A",256,"D",214,"D",215,"D",217,"D",449,"D",448,"D",446,"D",,"A","08","D","2014","D","1","D",,"A",68746,"D",68532,"D",68317,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20152","03059342",22,0,"1","01","D","100","D",0.05,"D",65757,"D",15,"D",520,"D",,"A",,"A",,"A",,"A",0,"D",252,"D",253,"D",254,"D",268,"D",267,"D",266,"D",,"A","08","D","2014","D","1","D",,"A",64265,"D",64013,"D",63760,"D","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
