"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20161","03144584",49,0,"5","01","D","100","D",0.0859,"F",9853,"F",14,"F",101,"F",,"A",,"A",,"A",,"A",0,"F",35,"F",35,"F",35,"F",66,"F",66,"F",66,"F",,"A","05","F","2014","F","1","F",,"A",9270,"F",9235,"F",9200,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03146224",31,0,"5","01","D","100","D",0.0859,"D",23565,"D",6,"D",420,"D",,"A",,"A",,"A",,"A",0,"D",274,"D",276,"D",278,"D",146,"D",144,"D",142,"D",,"A","11","D","2014","D","1","D",,"A",20428,"D",20154,"D",19878,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03146644",32,0,"5","01","D","100","D",0.07,"D",20000,"D",15,"D",240,"D",,"B",,"B",,"B",,"B",60,"D",104,"D",104,"D",105,"D",76,"D",76,"D",75,"D",,"A","10","D","2008","D","1","D",,"A",13057,"D",12953,"D",12849,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03149524",10,0,"5","01","D","100","D",0.046,"D",40000,"D",16,"D",312,"D","3","D","4","D",,"A",,"A",17,"D",142,"D",143,"D",143,"D",150,"D",149,"D",149,"D",,"A","10","D","2015","D","1","D",,"A",39858,"D",39716,"D",39573,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03150284",25,0,"5","01","D","100","D",0.0859,"F",80000,"F",15,"F",2475,"V",,"B",,"B",,"B",,"B",1408,"F",444,"F",448,"F",451,"F",348,"F",344,"F",341,"F",,"A","09","F","2007","F","1","F",,"A",48558,"F",48113,"F",47666,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03150824",12,0,"5","01","D","100","D",0.075,"D",50000,"D",15,"D",480,"D",,"B",,"B",,"B",,"B",16,"D",293,"D",295,"D",297,"D",171,"D",169,"D",167,"D",,"A","01","D","2007","D","1","D",,"A",27320,"D",27027,"D",26732,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03151724",28,0,"5","01","D","100","D",0.04,"D",45000,"D",15,"D",333,"D",,"A",,"A",,"A",,"A",0,"D",0,"D",0,"D",0,"D",350,"D",350,"D",350,"D",,"A","08","D","2007","D","2","D",,"A",45000,"D",45000,"D",45000,"D","01","D",,"A","2","D",,"A",350,"D",350,"D",350,"D",,"A","2","D"
"20161","03152724",18,0,"5","01","D","100","D",0.075,"F",50000,"F",15,"F",480,"F",,"B",,"B",,"B",,"B",16,"F",293,"F",295,"F",297,"F",171,"F",169,"F",167,"F",,"A","01","F","2007","F","1","F",,"A",27320,"F",27027,"F",26732,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03163464",41,0,"5","01","D","100","D",0.0859,"D",9798,"D",15,"D",97,"D",,"A",,"A",,"A",,"A",0,"D",67,"D",68,"D",68,"D",30,"D",29,"D",29,"D",,"A","03","D","2005","D","1","D",,"A",4133,"D",4065,"D",3998,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20161","03163644",50,0,"5","01","D","100","D",0.0859,"D",10444,"D",10,"D",130,"D",,"A",,"A",,"A",,"A",0,"D",0,"D",0,"D",0,"D",130,"D",130,"D",130,"D",,"A","04","D","2008","D","1","D",,"A",10444,"D",10444,"D",10444,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"A","2","D"
