"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_","DEEDED","DEEDED_"
"20152","03167931",8,0,"1","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",60,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03167971",16,0,"1","01","D","100","D",.,"A","3","D",,"B","2013","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03167981",16,0,"1","01","D","100","D",.,"A","3","D","05","F","2004","D",.,"A",.,"A",.,"A",3200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168051",14,0,"1","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",70,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168051",15,0,"1","02","D","300","D",.,"A","3","D",,"B","1980","D",.,"A",.,"A",.,"A",270,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20152","03168121",11,0,"1","01","D","100","D",.,"A","3","D",,"B","1989","D",.,"A",.,"A",.,"A",3000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168141",7,0,"1","01","D","100","D",.,"A","3","D",,"B","2006","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168151",38,0,"1","01","D","100","D",.,"A","3","D",,"B","1983","D",.,"A",.,"A",.,"A",8000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168181",16,0,"1","01","D","100","D",.,"A","3","D","06","D","2014","D",.,"A",.,"A",.,"A",3500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168201",18,0,"1","01","D","100","D",.,"A","3","D",,"B","2006","D",.,"A",.,"A",.,"A",2800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168223",6,0,"1","01","D","100","D",.,"A","3","D","04","F","1945","D",.,"A",.,"A",.,"A",1300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168251",13,0,"1","01","D","100","D",.,"A","3","D","05","F","1992","D",.,"A",.,"A",.,"A",850,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168251",14,0,"1","02","D","300","D",.,"A","1","D",,"B","2000","D",.,"A",.,"A",.,"A",400,"D","1","D",2,"D","2","D",.,"A",,"A",.,"A",,"A",,"A","1","D"
"20152","03168251",15,0,"1","03","D","300","D",.,"A","1","D",,"B","2000","D",.,"A",.,"A",.,"A",350,"D","1","D",1,"D","2","D",.,"A",,"A",.,"A",,"A",,"A","1","D"
"20152","03168251",16,0,"1","04","D","300","D",.,"A","1","D",,"B","2009","D",.,"A",.,"A",.,"A",400,"D","1","D",1,"D","2","D",.,"A",,"A",.,"A",,"A",,"A","1","D"
"20152","03168261",29,0,"1","01","D","100","D",.,"A","3","D",,"B","1999","D",.,"A",.,"A",.,"A",2400,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168291",14,0,"1","01","D","100","D",.,"A","3","D",,"B","1982","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168321",36,0,"1","01","D","100","D",.,"A","3","D",,"B","2012","D",.,"A",.,"A",.,"A",6500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168361",26,0,"1","01","D","100","D",.,"A","3","D","04","F","2015","D",.,"A",.,"A",.,"A",5300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168371",25,0,"1","01","D","100","D",.,"A","3","D",,"B","2003","D",.,"A",.,"A",.,"A",900,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20152","03168391",8,0,"1","01","D","100","D",.,"A","3","D","05","F","1995","D",.,"A",.,"A",.,"A",3100,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
