"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20151","02796265",2,0,"1","150","D","13","D",140,"D"
"20151","02796485",1,0,"1","150","D","13","D",161,"F"
"20151","02796565",2,0,"1","150","D","13","D",30,"D"
"20151","02796565",3,0,"1","160","D","01","D",25,"D"
"20151","02796595",8,0,"1","160","D","13","D",10,"D"
"20151","02796595",9,0,"1","160","D","11","D",70,"D"
"20151","02796605",7,0,"2","160","D","11","D",200,"D"
"20151","02796735",1,0,"1","170","D","11","D",160,"D"
"20151","02796735",2,0,"1","170","D","12","D",100,"D"
"20151","02796765",4,0,"1","170","D","12","D",100,"D"
"20151","02796765",5,0,"1","150","D","13","D",300,"D"
"20151","02796765",6,0,"1","160","D","12","D",30,"D"
"20151","02796765",7,0,"1","160","D","13","D",10,"D"
"20151","02796795",5,0,"1","110","D","13","D",720,"D"
"20151","02796885",4,0,"1","160","D","01","D",35,"D"
"20151","02796885",5,0,"1","140","D","01","D",40,"D"
"20151","02796925",5,0,"1","150","D","13","D",200,"D"
"20151","02796945",7,0,"1","160","D","13","D",50,"D"
"20151","02796945",8,0,"1","150","D","13","D",50,"D"
"20151","02797215",4,0,"1","150","D","13","D",129,"D"
"20151","02797315",4,0,"1","110","D","13","D",150,"D"
"20151","02797325",1,0,"1","150","D","13","D",25,"D"
"20151","02797405",10,0,"1","170","D","12","D",100,"D"
"20151","02797405",11,0,"1","150","D","12","D",100,"D"
"20151","02797475",9,0,"1","150","D","13","D",430,"D"
"20151","02797525",10,0,"1","150","D","13","D",2000,"D"
"20151","02797585",3,0,"1","170","D","12","D",1000,"D"
"20151","02797585",4,0,"1","170","D","01","D",60,"D"
"20151","02797655",8,0,"1","170","D","12","D",300,"D"
"20151","02797675",5,0,"1","170","D","13","D",240,"D"
"20151","02797675",6,0,"1","150","D","13","D",110,"D"
"20151","02797695",5,0,"1","170","D","13","D",35,"D"
"20151","02797735",8,0,"1","170","D","12","D",400,"D"
"20151","02797735",9,0,"1","160","D","13","D",100,"D"
"20151","02797805",1,0,"1","150","D","13","D",200,"D"
"20151","02797885",1,0,"1","160","D","12","D",500,"D"
"20151","02797895",3,0,"2","160","D","11","D",400,"D"
"20151","02797915",3,0,"1","150","D","13","D",30,"D"
"20151","02798005",5,0,"1","170","D","12","D",700,"D"
"20151","02798045",4,0,"1","150","D","13","D",10,"D"
"20151","02798065",1,0,"1","170","D","12","D",30,"D"
"20151","02798075",9,0,"1","170","D","11","D",30,"D"
"20151","02798075",10,0,"1","170","D","12","D",114,"D"
"20151","02798075",11,0,"1","170","D","01","D",51,"D"
"20151","02798075",12,0,"1","160","D","11","D",150,"D"
"20151","02798075",13,0,"1","160","D","12","D",50,"D"
"20151","02798075",14,0,"1","160","D","01","D",50,"D"
"20151","02798085",4,0,"1","150","D","13","D",20,"D"
"20151","02798225",5,0,"1","100","D","13","D",400,"D"
"20151","02798275",6,0,"1","160","D","12","D",20,"D"
"20151","02798315",2,0,"1","170","D","12","D",200,"D"
"20151","02798315",3,0,"1","150","D","13","D",60,"D"
"20151","02798335",3,0,"1","110","D","13","D",200,"D"
"20151","02798395",1,0,"1","150","D","13","D",20,"D"
"20151","02798405",16,0,"1","170","D","13","D",10,"D"
"20151","02798405",17,0,"1","170","D","13","D",15,"D"
"20151","02798425",7,0,"1","100","D","01","D",2800,"D"
"20151","02798555",1,0,"1","160","D","11","D",1000,"D"
"20151","02798665",2,0,"1","160","D","01","D",275,"D"
"20151","02798675",2,0,"1","150","D","13","D",50,"D"
"20151","02798695",2,0,"1","100","D","11","D",300,"D"
"20151","02798695",3,0,"1","150","D","13","D",125,"D"
"20151","02798695",4,0,"1","160","D","13","D",50,"D"
"20151","02798735",4,0,"1","160","D","13","D",50,"D"
"20151","02798735",5,0,"1","150","D","13","D",150,"D"
"20151","02798805",6,0,"1","170","D","12","D",500,"D"
"20151","02798805",7,0,"1","150","D","13","D",50,"D"
"20151","02798835",5,0,"1","160","D","13","D",5,"D"
"20151","02798985",4,0,"1","150","D","13","D",10,"D"
"20151","02799035",3,0,"1","170","D","12","D",300,"D"
"20151","02799035",4,0,"1","140","D","01","D",100,"D"
"20151","02799035",5,0,"1","150","D","13","D",170,"D"
"20151","02799135",4,0,"1","170","D","12","D",200,"D"
"20151","02799135",5,0,"1","150","D","13","D",60,"D"
"20151","02799135",6,0,"1","160","D","12","D",20,"D"
"20151","02799455",20,0,"1","170","D","01","D",40,"D"
"20151","02799455",21,0,"1","160","D","13","D",20,"D"
"20151","02799475",4,0,"1","170","D","13","D",600,"D"
"20151","02799475",5,0,"1","160","D","12","D",20,"D"
"20151","02799475",6,0,"2","170","D","11","D",10,"D"
"20151","02799495",9,0,"1","150","D","13","D",100,"D"
"20151","02799555",3,0,"1","150","D","13","D",52,"D"
"20151","02799605",1,0,"1","150","D","13","D",300,"D"
"20151","02799625",1,0,"1","150","D","13","D",550,"D"
"20151","02799625",2,0,"1","160","D","13","D",50,"D"
"20151","02799685",1,0,"1","150","D","13","D",90,"D"
"20151","02799695",2,0,"1","110","D","13","D",1100,"D"
"20151","02799775",2,0,"1","170","D","13","D",200,"D"
"20151","02799835",6,0,"1","170","D","12","D",325,"D"
"20151","02799865",12,0,"1","150","D","12","D",35,"D"
"20151","02799885",2,0,"1","110","D","13","D",120,"D"
"20151","02799895",2,0,"1","160","D","13","D",50,"D"
"20151","02799905",4,0,"1","170","D","13","D",20,"D"
"20151","02799935",4,0,"1","110","D","13","D",448,"D"
"20151","02799965",3,0,"1","150","D","13","D",5,"D"
"20151","02800005",1,0,"1","150","D","13","D",20,"D"
"20151","02800005",2,0,"1","160","D","12","D",50,"D"
"20151","02800005",3,0,"1","160","D","12","D",55,"D"
"20151","02800065",3,0,"1","150","D","13","D",170,"D"
"20151","02800145",7,0,"1","100","D","12","D",1400,"D"
"20151","02800175",27,0,"1","170","D","12","D",800,"D"
"20151","02800175",28,0,"1","170","D","01","D",50,"D"
"20151","02800175",29,0,"1","150","D","13","D",70,"D"
"20151","02800175",30,0,"1","160","D","12","D",5,"D"
"20151","02800185",5,0,"1","170","D","12","D",75,"D"
"20151","02800265",13,0,"1","170","D","12","D",50,"D"
"20151","02800265",14,0,"1","160","D","12","D",15,"D"
"20151","02800335",6,0,"1","170","D","11","D",400,"D"
"20151","02800335",7,0,"1","170","D","12","D",400,"D"
"20151","02800385",8,0,"1","170","D","12","D",25,"D"
"20151","02800385",9,0,"1","170","D","01","D",190,"D"
"20151","02800425",6,0,"1","150","D","12","D",810,"D"
"20151","02800425",7,0,"1","150","D","01","D",680,"D"
"20151","02800425",8,0,"2","150","D","11","D",1150,"D"
"20151","02800445",9,0,"1","170","D","12","D",200,"D"
"20151","02800445",10,0,"1","160","D","12","D",200,"D"
"20151","02800545",4,0,"1","150","D","13","D",350,"D"
"20151","02800665",2,0,"1","170","D","13","D",100,"D"
"20151","02800665",3,0,"1","160","D","12","D",50,"D"
"20151","02800665",4,0,"1","160","D","01","D",50,"D"
"20151","02800725",10,0,"1","160","D","12","D",650,"D"
"20151","02801015",2,0,"1","170","D","12","D",250,"D"
"20151","02801045",6,0,"1","150","D","13","D",100,"D"
"20151","02801065",7,0,"1","170","D","12","D",70,"D"
"20151","02801065",8,0,"1","150","D","12","D",25,"D"
"20151","02801085",3,0,"1","170","D","11","D",90,"D"
"20151","02801085",4,0,"1","170","D","12","D",300,"D"
"20151","02801085",5,0,"1","170","D","01","D",90,"D"
"20151","02801085",6,0,"1","150","D","11","D",20,"D"
"20151","02801085",7,0,"1","150","D","12","D",170,"D"
"20151","02801085",8,0,"1","150","D","01","D",60,"D"
"20151","02801085",9,0,"2","150","D","11","D",100,"D"
"20151","02801145",1,0,"1","160","D","13","D",10,"D"
"20151","02801185",3,0,"1","110","D","13","D",1000,"D"
"20151","02801185",4,0,"1","150","D","13","D",50,"D"
"20151","02801275",8,0,"1","170","D","12","D",40,"D"
"20151","02801305",2,0,"1","150","D","13","D",85,"D"
"20151","02801305",3,0,"1","150","D","12","D",100,"D"
"20151","02801305",4,0,"1","160","D","01","D",10,"D"
"20151","02801495",1,0,"1","170","D","12","D",400,"D"
"20151","02801575",17,0,"1","170","D","12","D",100,"D"
"20151","02801575",18,0,"2","100","D","11","D",60,"D"
"20151","02801625",13,0,"1","160","D","13","D",70,"D"
"20151","02801625",14,0,"1","160","D","13","D",25,"D"
"20151","02801625",15,0,"1","160","D","13","D",20,"D"
"20151","02801685",10,0,"1","160","D","13","D",10,"D"
"20151","02801705",4,0,"1","150","D","13","D",40,"D"
"20151","02801765",11,0,"1","170","D","11","D",60,"D"
"20151","02801765",12,0,"1","100","D","13","D",600,"D"
"20151","02801765",13,0,"1","150","D","11","D",290,"D"
"20151","02801765",14,0,"1","150","D","12","D",1296,"D"
"20151","02801765",15,0,"1","150","D","01","D",300,"D"
"20151","02801765",16,0,"1","150","D","11","D",300,"D"
"20151","02801765",17,0,"1","150","D","12","D",260,"D"
"20151","02801765",18,0,"1","150","D","01","D",200,"D"
"20151","02801765",19,0,"1","160","D","12","D",50,"D"
"20151","02801765",20,0,"1","160","D","12","D",100,"D"
"20151","02801775",2,0,"1","170","D","12","D",300,"D"
"20151","02801775",3,0,"1","160","D","11","D",100,"D"
"20151","02801825",6,0,"1","170","D","12","D",1200,"D"
"20151","02801845",5,0,"1","170","D","12","D",628,"D"
"20151","02801845",6,0,"1","150","D","12","D",2060,"D"
"20151","02801845",7,0,"1","160","D","01","D",60,"D"
"20151","02801845",8,0,"1","160","D","01","D",30,"D"
"20151","02801865",7,0,"1","150","D","13","D",10,"D"
"20151","02801925",32,0,"1","170","D","12","D",225,"D"
"20151","02801925",33,0,"1","170","D","12","D",90,"D"
"20151","02801925",34,0,"1","170","D","11","D",50,"D"
"20151","02801925",35,0,"1","130","D","11","D",25,"D"
"20151","02801925",36,0,"1","130","D","01","D",25,"D"
"20151","02801925",37,0,"1","150","D","01","D",200,"D"
"20151","02801955",4,0,"1","160","D","13","D",150,"D"
"20151","02802175",16,0,"1","160","D","12","D",200,"D"
"20151","02802175",17,0,"1","150","D","12","D",580,"D"
"20151","02802335",1,0,"1","150","D","13","D",20,"D"
"20151","02802345",8,0,"1","170","D","13","D",40,"D"
"20151","02802345",9,0,"1","150","D","13","D",25,"D"
"20151","02802585",2,0,"1","170","D","12","D",1200,"D"
"20151","02802585",3,0,"1","170","D","12","D",300,"D"
"20151","02802585",4,0,"1","150","D","13","D",160,"D"
"20151","02802585",5,0,"1","150","D","12","D",250,"D"
"20151","02802895",2,0,"1","150","D","13","D",30,"D"
"20151","02802915",7,0,"1","100","D","11","D",1380,"D"
"20151","02802915",8,0,"1","100","D","13","D",1675,"D"
