"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MAJAPPLY","MAJA_PLY","GFTC_MAJ","GFTC0MAJ","MAJ_MO","MAJ_MO_","MAJPURX","MAJPURX_","MAJRENTX","MAJR_NTX","MAJINSTX","MAJI_STX","MJAPPL1","MJAPPL1_","MJAPPL2","MJAPPL2_","MJAPPL3","MJAPPL3_","MJAPPL4","MJAPPL4_","MJAPPL5","MJAPPL5_","MJAPPL6","MJAPPL6_","MJAPPL7","MJAPPL7_","MJAPPL8","MJAPPL8_","MJAPPL9","MJAPPL9_"
"20152","03106285",1,0,"1","140","D","1","D","02","D",1696,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03106611",1,0,"1","195","D","1","D","02","D",1482,"D",.,"A",2,"F",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03106791",1,0,"1","100","D","1","D","02","D",350,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03107053",1,0,"1","120","D","1","D","02","D",90,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03107053",2,0,"1","100","D","1","D","02","D",400,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03107053",3,0,"1","210","D","1","D","02","D",60,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03107053",4,0,"1","140","D","1","D","02","D",900,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03107053",5,0,"1","160","D","1","D","02","D",375,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03107053",6,0,"1","195","D","1","D","02","D",2100,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03107692",1,0,"1","140","D","1","D","03","D",485,"D",.,"A",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03107924",1,0,"1","120","D","1","D","03","D",129,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03107924",2,0,"1","100","D","1","D","01","D",886,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03107944",1,0,"1","195","D","1","D","01","D",139,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03107944",2,0,"1","220","D","1","D","01","D",.,"H",.,"A",.,"A","100","D","140","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03107944",2,1,"1","100","D","1","D","01","D",62,"E",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03107944",2,2,"1","140","D","1","D","01","D",138,"E",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03109511",1,0,"1","100","D","1","D","01","D",81,"D",.,"A",35,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03110051",1,0,"1","100","D","1","D","03","D",1000,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03110051",2,0,"1","140","D","1","D","03","D",1800,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03110273",1,0,"1","140","D","1","D","03","D",321,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03110371",1,0,"1","195","D","1","D","03","D",500,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03110641",1,0,"1","195","D","1","D","02","D",1700,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03110641",2,0,"1","140","D","1","D","02","D",800,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03110691",1,0,"1","140","D","1","D","01","D",864,"D",.,"A",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03110821",1,0,"1","140","D","1","D","02","D",1200,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03110911",1,0,"1","195","D","1","D","02","D",803,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03110971",1,0,"1","160","D","1","D","03","D",534,"D",.,"A",184,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03142351",1,0,"1","180","D","1","D","04","D",250,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03142381",1,0,"1","140","D","1","D","02","D",161,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03142391",1,0,"1","120","D","1","D","02","D",74,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20152","03142731",1,0,"1","220","D","1","D","03","D",.,"H",.,"A",.,"H","100","D","140","D","160","D","195","D",,"A",,"A",,"A",,"A",,"A"
"20152","03142731",1,1,"1","100","D","1","D","03","D",2266,"E",.,"A",57,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
