"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20152","03056502",45,0,"1","400","D","04","D",32,"D",,"A",,"A",,"A",,"A"
"20152","03056702",58,0,"1","410","D","04","D",7,"D",,"A",,"A",,"A",,"A"
"20152","03056702",59,0,"1","420","D","04","D",71,"D",,"A",,"A",,"A",,"A"
"20152","03056932",10,0,"1","405","D","04","D",500,"D",,"A",,"A",,"A",,"A"
"20152","03056932",11,0,"1","410","D","04","D",16,"D",,"A",,"A",,"A",,"A"
"20152","03057174",19,0,"1","420","D","04","D",100,"D",,"A",,"A",,"A",,"A"
"20152","03057212",29,0,"1","420","D","04","D",180,"D",,"A",,"A",,"A",,"A"
"20152","03057742",34,0,"1","420","D","02","D",55,"D",,"A",,"A",,"A",,"A"
"20152","03057753",29,0,"1","410","D","04","D",44,"D",,"A",,"A",,"A",,"A"
"20152","03057753",30,0,"1","420","D","04","D",145,"D",,"A",,"A",,"A",,"A"
"20152","03057933",54,0,"1","420","D","03","D",60,"D",,"A",,"A",,"A",,"A"
"20152","03057984",26,0,"1","410","D","03","D",15,"D",,"A",,"A",,"A",,"A"
"20152","03058062",46,0,"1","410","D","03","D",96,"D",,"A",,"A",,"A",,"A"
"20152","03058062",47,0,"2","420","D","02","D",96,"D",,"A",,"A",,"A",,"A"
"20152","03058072",37,0,"1","400","D","04","D",42,"D",,"A",,"A",,"A",,"A"
"20152","03058094",27,0,"1","420","D","03","D",28,"D",,"A",,"A",,"A",,"A"
"20152","03058094",28,0,"1","420","D","02","D",28,"D",,"A",,"A",,"A",,"A"
"20152","03058094",29,0,"1","410","D","03","D",16,"D",,"A",,"A",,"A",,"A"
"20152","03058094",30,0,"1","410","D","03","D",16,"D",,"A",,"A",,"A",,"A"
"20152","03058094",31,0,"1","405","D","03","D",30,"D",,"A",,"A",,"A",,"A"
"20152","03058094",32,0,"1","405","D","03","D",17,"D",,"A",,"A",,"A",,"A"
"20152","03058142",40,0,"2","420","D","02","D",20,"D",,"A",,"A",,"A",,"A"
"20152","03058173",53,0,"1","405","D","02","D",100,"D",,"A",,"A",,"A",,"A"
"20152","03058404",23,0,"1","420","D","02","D",28,"D",,"A",,"A",,"A",,"A"
"20152","03059173",34,0,"2","400","D","02","D",55,"D",,"A",,"A",,"A",,"A"
"20152","03059342",36,0,"1","410","D","04","D",35,"D",,"A",,"A",,"A",,"A"
"20152","03059363",51,0,"1","420","D","02","D",75,"D",,"A",,"A",,"A",,"A"
"20152","03059544",30,0,"1","420","D","03","D",200,"D",,"A",,"A",,"A",,"A"
"20152","03059582",29,0,"1","410","D","04","D",15,"D",,"A",,"A",,"A",,"A"
"20152","03059752",36,0,"1","420","D","03","D",60,"D",,"A",,"A",,"A",,"A"
"20152","03059752",37,0,"2","420","D","02","D",60,"D",,"A",,"A",,"A",,"A"
"20152","03059752",38,0,"2","405","D","02","D",150,"D",,"A",,"A",,"A",,"A"
"20152","03059862",21,0,"1","400","D","04","D",30,"D",,"A",,"A",,"A",,"A"
"20152","03059903",20,0,"1","420","D","03","D",43,"D",,"A",,"A",,"A",,"A"
"20152","03059983",16,0,"1","400","D","04","D",25,"D",,"A",,"A",,"A",,"A"
"20152","03060322",47,0,"1","420","D","03","D",80,"D",,"A",,"A",,"A",,"A"
"20152","03060474",27,0,"1","430","D","03","D",.,"H","410","D","405","D",,"A",,"A"
"20152","03060474",27,1,"1","410","D","03","D",96,"E",,"A",,"A",,"A",,"A"
"20152","03060474",27,2,"1","405","D","03","D",314,"E",,"A",,"A",,"A",,"A"
"20152","03060562",37,0,"1","400","D","03","D",20,"D",,"A",,"A",,"A",,"A"
"20152","03060884",21,0,"1","405","D","03","D",300,"D",,"A",,"A",,"A",,"A"
"20152","03060884",22,0,"1","420","D","03","D",35,"D",,"A",,"A",,"A",,"A"
"20152","03060974",37,0,"2","410","D","02","D",20,"D",,"A",,"A",,"A",,"A"
"20152","03061464",36,0,"1","400","D","03","D",14,"D",,"A",,"A",,"A",,"A"
"20152","03061464",37,0,"1","420","D","02","D",200,"D",,"A",,"A",,"A",,"A"
"20152","03061483",42,0,"1","410","D","04","D",21,"D",,"A",,"A",,"A",,"A"
"20152","03061483",43,0,"1","420","D","04","D",86,"D",,"A",,"A",,"A",,"A"
"20152","03061554",32,0,"1","430","D","04","D",.,"H","405","D","415","D",,"A",,"A"
"20152","03061554",32,1,"1","405","D","04","D",41,"E",,"A",,"A",,"A",,"A"
"20152","03061554",32,2,"1","420","D","04","D",13,"E",,"A",,"A",,"A",,"A"
"20152","03061723",35,0,"1","400","D","04","D",25,"D",,"A",,"A",,"A",,"A"
"20152","03061723",36,0,"1","420","D","02","D",89,"D",,"A",,"A",,"A",,"A"
"20152","03061774",27,0,"1","400","D","02","D",32,"D",,"A",,"A",,"A",,"A"
"20152","03061854",12,0,"2","420","D","02","D",137,"D",,"A",,"A",,"A",,"A"
"20152","03061972",37,0,"1","420","D","04","D",22,"D",,"A",,"A",,"A",,"A"
"20152","03062223",34,0,"1","420","D","02","D",83,"D",,"A",,"A",,"A",,"A"
"20152","03062522",9,0,"1","430","D","02","D",.,"H","410","D","415","D",,"A",,"A"
"20152","03062522",9,1,"1","410","D","02","D",83,"E",,"A",,"A",,"A",,"A"
"20152","03062522",9,2,"1","420","D","02","D",217,"E",,"A",,"A",,"A",,"A"
"20152","03062742",28,0,"1","420","D","02","D",107,"D",,"A",,"A",,"A",,"A"
"20152","03062774",24,0,"2","420","D","02","D",100,"D",,"A",,"A",,"A",,"A"
"20152","03062853",34,0,"1","400","D","03","D",30,"D",,"A",,"A",,"A",,"A"
