"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20152","02874455",66,0,"1","160","D",.,"A",35,"D","1","D"
"20152","02876235",72,0,"1","105","D",.,"A",130,"D","1","D"
"20152","02876655",25,0,"1","105","D",.,"A",80,"D","2","D"
"20152","02877515",9,0,"1","105","D",.,"A",252,"D","2","D"
"20152","02900834",23,0,"1","105","D",.,"A",150,"D","1","D"
"20152","02901164",67,0,"1","105","D",.,"A",15,"D","2","D"
"20152","02901704",37,0,"1","105","D",.,"A",116,"D","2","D"
"20152","02902084",12,0,"1","105","D",.,"A",354,"D","2","D"
"20152","02902244",20,0,"1","105","D",.,"A",65,"D","1","D"
"20152","02902454",49,0,"1","105","D",.,"A",100,"D","1","D"
"20152","02902744",13,0,"1","105","D",.,"A",800,"D","2","D"
"20152","02903064",39,0,"1","105","D",.,"A",125,"D","2","D"
"20152","02904454",28,0,"1","105","D",.,"A",228,"F","2","D"
"20152","02906174",17,0,"1","105","D",.,"A",14,"D","2","D"
"20152","02907374",18,0,"1","105","D",.,"A",96,"D","2","D"
"20152","02907644",51,0,"1","105","D",.,"A",227,"D","1","D"
"20152","02907644",52,0,"1","105","D",.,"A",79,"D","2","D"
"20152","02909184",15,0,"1","105","D",.,"A",1,"D","1","D"
"20152","02910034",31,0,"1","105","D",.,"A",375,"D","1","D"
"20152","02911654",32,0,"1","105","D",.,"A",400,"D","1","D"
"20152","02928714",25,0,"1","105","D",.,"A",270,"D","1","D"
"20152","02930454",23,0,"1","105","D",.,"A",150,"D","1","D"
"20152","02930804",14,0,"1","105","D",.,"A",1080,"D","2","D"
"20152","02931574",54,0,"1","105","D",.,"A",338,"D","2","D"
"20152","02932404",16,0,"1","105","D",.,"A",120,"D","2","D"
"20152","02947854",68,0,"1","105","D",.,"A",1400,"D","1","D"
"20152","02948114",23,0,"1","105","D",.,"A",150,"D","1","D"
"20152","02948704",29,0,"1","105","D",.,"A",332,"F","2","D"
"20152","02949194",52,0,"1","105","D",.,"A",54,"D","2","D"
"20152","02949794",27,0,"1","105","D",.,"A",215,"D","1","D"
"20152","02950024",28,0,"1","105","D",.,"A",100,"D","2","D"
"20152","02950694",39,0,"1","105","D",.,"A",100,"D","1","D"
"20152","02950814",90,0,"1","105","D",.,"A",232,"D","2","D"
"20152","02953334",36,0,"1","105","D",.,"A",120,"D","1","D"
"20152","02953554",28,0,"1","105","D",.,"A",380,"D","2","D"
"20152","02954674",35,0,"1","105","D",.,"A",75,"D","1","D"
"20152","02955124",30,0,"1","105","D",.,"A",43,"D","1","D"
"20152","02955404",17,0,"1","105","D",.,"A",381,"D","2","D"
"20152","02967143",27,0,"1","105","D",.,"A",135,"D","1","D"
"20152","02967143",28,0,"1","105","D",.,"A",240,"D","1","D"
"20152","02969713",25,0,"1","105","D",.,"A",74,"D","1","D"
"20152","02969773",24,0,"1","105","D",.,"A",280,"D","2","D"
"20152","02970153",33,0,"1","105","D",.,"A",250,"D","1","D"
"20152","02970153",34,0,"1","105","D",.,"A",150,"D","1","D"
"20152","02970713",50,0,"1","105","D",.,"A",178,"D","2","D"
"20152","02971593",38,0,"1","105","D",.,"A",260,"D","1","D"
"20152","02973063",47,0,"1","105","D",.,"A",130,"D","1","D"
"20152","02975373",47,0,"1","105","D",.,"A",155,"D","1","D"
