"QYEAR","NEWID","SEQNO","ALCNO","PRTDMBNO","PRTD_BNO","ENROLLMO","ENRO_LMO","ENROLLYR","ENRO_LYR","HHDRGSS","HHDRGSS_","STILDRUG","STIL_RUG","DRGPREMX","DRGP_EMX","QDRGPM1X","QDRG_M1X","QDRGPM2X","QDRG_M2X","QDRGPM3X","QDRG_M3X","PREMCHG","PREMCHG_","PREMCHGX","PREM_HGX"
"20153","03061724",8,0,2,"D","12","D","2005","D","1","D","1","D",56,"D",56,"D",56,"D",56,"D","1","D",.,"A"
"20153","03061753",3,0,1,"D","01","D","2009","D","1","D",,"A",54,"F",54,"F",54,"F",54,"F",,"A",.,"A"
"20153","03062074",12,0,1,"D","01","D","2014","D","2","D","1","D",22,"D",22,"D",22,"D",22,"D","1","D",.,"A"
"20153","03062224",12,0,1,"D","01","D","2015","D","1","F","1","D",29,"F",29,"F",29,"F",29,"F","1","D",.,"A"
"20153","03062573",23,0,1,"D","11","D","2014","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03063934",10,0,1,"D","04","D","2008","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03063943",18,0,4,"D","12","D","2005","D","1","D",,"A",34,"F",34,"F",34,"F",34,"F",,"A",.,"A"
"20153","03064004",9,0,1,"D","10","D","2011","D","2","D","1","D",26,"D",26,"D",26,"D",26,"D","1","D",.,"A"
"20153","03064224",4,0,1,"D","03","D","2012","D","1","D","1","D",104,"D",104,"D",104,"D",104,"D","1","D",.,"A"
"20153","03064784",14,0,1,"D","12","D","2005","D","2","D","1","D",24,"D",26,"D",26,"D",26,"D","2","D",26,"D"
"20153","03064994",6,0,1,"D","12","D","2005","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03064994",7,0,2,"D","12","D","2005","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03065224",9,0,1,"D","09","D","2007","D","2","D","1","D",48,"D",48,"D",48,"D",48,"D","1","D",.,"A"
"20153","03065504",5,0,1,"D","12","D","2005","D","1","D","1","D",55,"D",55,"D",55,"D",55,"D","1","D",.,"A"
"20153","03065504",6,0,2,"D","12","D","2005","D","1","D","1","D",55,"D",55,"D",55,"D",55,"D","1","D",.,"A"
"20153","03065524",10,0,4,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20153","03065614",7,0,1,"D","12","D","2005","D","1","D",,"A",4,"F",4,"F",4,"F",4,"F",,"A",.,"A"
"20153","03066333",4,0,1,"D","12","D","2005","D","1","D","1","D",94,"D",94,"D",94,"D",94,"D","1","D",.,"A"
"20153","03066333",5,0,2,"D","12","D","2005","D","1","D","1","D",94,"D",94,"D",94,"D",94,"D","1","D",.,"A"
"20153","03066754",8,0,2,"D","09","D","2010","D","1","D",,"A",29,"F",29,"F",29,"F",29,"F",,"A",.,"A"
"20153","03066764",16,0,3,"D","02","D","2007","D","1","D",,"A",5,"F",3,"F",3,"F",3,"F",,"A",3,"F"
"20153","03066873",7,0,1,"D","12","D","2005","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03066873",8,0,2,"D","12","D","2005","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03066873",9,0,3,"D","12","D","2005","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03066873",10,0,4,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20153","03067413",22,0,2,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20153","03067644",5,0,6,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20153","03067783",7,0,3,"D","08","D","2011","D","2","D","1","D",40,"D",40,"D",40,"D",40,"D","1","D",.,"A"
"20153","03068034",7,0,1,"D","01","D","2015","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20153","03068464",12,0,1,"D","12","D","2013","D","1","D","1","D",25,"D",25,"D",25,"D",25,"D","1","D",.,"A"
"20153","03068464",13,0,2,"D","04","D","2010","D","1","D","1","D",25,"D",25,"D",25,"D",25,"D","1","D",.,"A"
"20153","03068503",3,0,1,"D","04","D","2014","D","1","D","1","D",40,"F",40,"F",40,"F",40,"F","1","D",.,"A"
"20153","03068543",7,0,1,"D","01","D","2013","D","1","D","1","D",32,"D",32,"D",32,"D",32,"D","1","D",.,"A"
"20153","03068543",8,0,2,"D","03","D","2013","D","1","D","1","D",15,"D",15,"D",15,"D",15,"D","1","D",.,"A"
"20153","03068564",5,0,3,"D","12","D","2005","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
